epoch,loss,steps,win,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.014349098317325115,35,0,0.0,2,33,-8.120000000000001,0.001,47.717102
1,0.017833562567830086,35,0,0.0,4,31,-8.120000000000001,0.001,104.890923
2,0.11274383217096329,18,1,0.0,2,16,-3.25,0.001,130.855516
3,0.00678328238427639,35,0,0.0,2,33,-8.120000000000001,0.001,184.436833
4,0.009890170767903328,35,0,0.0,4,31,-8.120000000000001,0.001,235.954873
5,0.08523782342672348,17,1,0.0,3,14,-2.79,0.001,257.661955
6,0.01470563281327486,36,0,0.0,4,32,-8.16,0.001,310.297556
7,0.04528230056166649,35,0,0.0,7,28,-8.120000000000001,0.001,368.067199
8,0.1424594223499298,34,0,0.25,3,31,-8.08,0.001,421.727507
9,0.10349293798208237,36,0,0.25,3,33,-8.16,0.001,484.608883
10,0.34628620743751526,2,1,0.25,3,0,0.96,0.001,488.887248
11,0.07761255651712418,33,0,0.25,2,31,-8.25,0.001,537.246932
12,0.31249094009399414,17,1,0.375,6,11,-2.16,0.001,559.681069
13,0.42809998989105225,5,1,0.375,3,2,0.20999999999999996,0.001,566.225508
14,0.48958125710487366,2,1,0.5,3,0,0.96,0.001,568.803339
15,0.07292922586202621,34,0,0.5,5,29,-8.08,0.001,612.701947
16,0.053223397582769394,34,0,0.5,7,27,-8.08,0.001,655.751001
17,0.21163912117481232,1,1,0.625,2,0,1.0,0.001,657.041156
18,0.06999411433935165,33,0,0.5,6,27,-8.04,0.001,699.986539
19,0.21457980573177338,12,1,0.625,3,9,-1.33,0.001,715.11809
20,0.07965786755084991,34,0,0.5,5,29,-8.08,0.001,773.215249
21,0.13151556253433228,33,0,0.375,5,28,-8.04,0.001,835.004105
22,0.39297017455101013,2,1,0.375,3,0,0.96,0.001,838.732092
23,0.06111276522278786,35,0,0.375,7,28,-8.120000000000001,0.001,898.776539
24,0.1149422749876976,34,0,0.375,3,31,-8.08,0.001,954.962256
25,0.27892717719078064,32,1,0.375,5,27,-6.12,0.001,1005.42918
26,0.6198689937591553,2,1,0.5,2,0,0.75,0.001,1008.058711
27,0.7814905047416687,3,1,0.5,4,0,0.92,0.001,1011.87202
28,0.1699749231338501,26,1,0.625,4,22,-4.83,0.001,1044.701907
29,0.13840490579605103,29,1,0.75,2,27,-5.58,0.001,1083.019823
30,0.1848757117986679,33,1,0.75,3,30,-6.79,0.001,1139.417831
31,0.34630948305130005,2,1,0.875,3,0,0.96,0.001,1142.898192
32,0.0480525977909565,34,0,0.875,4,30,-8.08,0.001,1201.608848
33,0.12052412331104279,34,0,0.75,6,28,-8.08,0.001,1265.65871
34,0.39178499579429626,1,1,0.75,2,0,1.0,0.001,1267.466958
35,0.55457603931427,5,1,0.75,4,1,0.41999999999999993,0.001,1275.962185
36,0.061330314725637436,34,0,0.625,5,29,-8.08,0.001,1330.290015
37,0.2297494113445282,2,1,0.625,3,0,0.96,0.001,1332.941778
38,0.07005757838487625,34,0,0.5,7,27,-8.08,0.001,1378.237392
39,0.11718694865703583,34,0,0.375,7,27,-8.08,0.001,1422.028283
40,0.35839229822158813,1,1,0.5,2,0,1.0,0.001,1423.28244
41,0.6097395420074463,3,1,0.625,2,1,0.5,0.001,1427.176624
42,0.753493070602417,3,1,0.625,2,1,0.71,0.001,1431.286904
43,0.04157879203557968,35,0,0.5,6,29,-8.120000000000001,0.001,1479.415158
44,0.06709243357181549,34,0,0.5,7,27,-8.08,0.001,1528.765273
45,0.21203702688217163,27,1,0.5,5,22,-4.87,0.001,1575.996378
46,0.4360961616039276,1,1,0.625,2,0,1.0,0.001,1577.495217
47,0.06421834230422974,34,0,0.625,7,27,-8.08,0.001,1633.306182
48,0.18721753358840942,23,1,0.625,6,17,-3.66,0.001,1672.932937
49,0.07426432520151138,33,0,0.5,7,26,-8.04,0.001,1720.917208
50,0.1447262465953827,33,0,0.375,4,29,-8.04,0.001,1775.916693
51,0.27686846256256104,37,1,0.5,7,30,-6.95,0.001,1824.573693
52,0.15690694749355316,34,0,0.5,7,27,-8.08,0.001,1870.673948
53,0.19190500676631927,36,0,0.375,7,29,-8.16,0.001,1920.789062
54,0.16488061845302582,35,0,0.25,6,29,-8.120000000000001,0.001,1969.235965
55,0.20710183680057526,34,0,0.25,6,28,-8.08,0.001,2014.836564
56,0.18471680581569672,35,0,0.125,5,30,-8.120000000000001,0.001,2060.045074
57,0.2905871570110321,24,1,0.25,3,21,-4.33,0.001,2095.073066
58,0.2799358069896698,28,1,0.375,3,25,-5.54,0.001,2137.116508
59,0.18264494836330414,9,1,0.375,4,5,-0.3700000000000001,0.001,2148.005265
60,0.08737193793058395,33,0,0.375,4,29,-8.04,0.001,2189.925693
61,0.25163063406944275,22,1,0.5,3,19,-4.04,0.001,2218.167121
62,0.09325448423624039,34,0,0.5,4,30,-8.08,0.001,2260.250926
63,0.11960397660732269,33,0,0.5,7,26,-8.04,0.001,2304.770467
64,0.37109076976776123,1,1,0.625,2,0,1.0,0.001,2306.137527
65,0.10350632667541504,35,0,0.5,5,30,-8.120000000000001,0.001,2350.608143
66,0.1515951156616211,35,0,0.375,5,30,-8.120000000000001,0.001,2394.905723
67,0.16585299372673035,35,0,0.25,6,29,-8.120000000000001,0.001,2459.45628
68,0.16179905831813812,35,0,0.25,4,31,-8.120000000000001,0.001,2530.969522
69,0.3680710196495056,29,1,0.25,3,26,-5.79,0.001,2584.443743
70,0.17664605379104614,34,0,0.25,7,27,-8.08,0.001,2644.120755
71,0.19449971616268158,34,0,0.25,7,27,-8.08,0.001,2705.916722
72,0.568557620048523,2,1,0.25,3,0,0.96,0.001,2708.662925
73,0.10519172251224518,33,0,0.25,3,30,-8.04,0.001,2761.326302
74,0.14621515572071075,34,0,0.25,3,31,-8.08,0.001,2819.249046
75,0.17792703211307526,33,0,0.25,7,26,-8.25,0.001,2866.311392
76,0.19615885615348816,34,0,0.25,6,28,-8.08,0.001,2914.653763
77,0.20252351462841034,34,0,0.125,7,27,-8.08,0.001,2974.32788
78,0.2041211724281311,34,0,0.125,5,29,-8.08,0.001,3034.370023
79,0.5446770787239075,3,1,0.25,4,0,0.92,0.001,3039.528488
80,0.09420238435268402,33,0,0.125,7,26,-8.25,0.001,3118.548786
81,0.32658207416534424,4,1,0.25,3,1,0.67,0.001,3132.83166
82,0.09589800238609314,34,0,0.25,6,28,-8.08,0.001,3205.655828
83,0.31119248270988464,1,1,0.375,2,0,1.0,0.001,3207.634302
84,0.19543536007404327,13,1,0.5,3,10,-1.79,0.001,3234.746275
85,0.3637928068637848,1,1,0.625,2,0,1.0,0.001,3236.339848
86,0.4996873140335083,1,1,0.75,2,0,1.0,0.001,3237.866514
87,0.5739797949790955,2,1,0.75,3,0,0.96,0.001,3240.757202
88,0.07896946370601654,33,1,0.875,5,28,-6.37,0.001,3284.555192
89,0.15438312292099,1,1,0.875,2,0,1.0,0.001,3286.047771
90,0.0771777406334877,34,1,1.0,7,27,-6.2,0.001,3343.837832
