Running experiment: baseline_03
training....
Epoch: 53/100 | Loss: 0.1569 | Trials: 34 | Win count: 26 | Win rate: 0.500 | Time: 31.18 minutes
Epoch: 54/100 | Loss: 0.1919 | Trials: 36 | Win count: 26 | Win rate: 0.375 | Time: 32.01 minutes
Epoch: 55/100 | Loss: 0.1649 | Trials: 35 | Win count: 26 | Win rate: 0.250 | Time: 32.82 minutes
Epoch: 56/100 | Loss: 0.2071 | Trials: 34 | Win count: 26 | Win rate: 0.250 | Time: 33.58 minutes
Epoch: 57/100 | Loss: 0.1847 | Trials: 35 | Win count: 26 | Win rate: 0.125 | Time: 34.33 minutes
Epoch: 58/100 | Loss: 0.2906 | Trials: 24 | Win count: 27 | Win rate: 0.250 | Time: 34.92 minutes
Epoch: 59/100 | Loss: 0.2799 | Trials: 28 | Win count: 28 | Win rate: 0.375 | Time: 35.62 minutes
Epoch: 60/100 | Loss: 0.1826 | Trials: 9 | Win count: 29 | Win rate: 0.375 | Time: 35.80 minutes
Epoch: 61/100 | Loss: 0.0874 | Trials: 33 | Win count: 29 | Win rate: 0.375 | Time: 36.50 minutes
Epoch: 62/100 | Loss: 0.2516 | Trials: 22 | Win count: 30 | Win rate: 0.500 | Time: 36.97 minutes
Epoch: 63/100 | Loss: 0.0933 | Trials: 34 | Win count: 30 | Win rate: 0.500 | Time: 37.67 minutes
Epoch: 64/100 | Loss: 0.1196 | Trials: 33 | Win count: 30 | Win rate: 0.500 | Time: 38.41 minutes
Epoch: 65/100 | Loss: 0.3711 | Trials: 1 | Win count: 31 | Win rate: 0.625 | Time: 38.44 minutes
Epoch: 66/100 | Loss: 0.1035 | Trials: 35 | Win count: 31 | Win rate: 0.500 | Time: 39.18 minutes
Epoch: 67/100 | Loss: 0.1516 | Trials: 35 | Win count: 31 | Win rate: 0.375 | Time: 39.92 minutes
Epoch: 68/100 | Loss: 0.1659 | Trials: 35 | Win count: 31 | Win rate: 0.250 | Time: 40.99 minutes
Epoch: 69/100 | Loss: 0.1618 | Trials: 35 | Win count: 31 | Win rate: 0.250 | Time: 42.18 minutes
Epoch: 70/100 | Loss: 0.3681 | Trials: 29 | Win count: 32 | Win rate: 0.250 | Time: 43.07 minutes
Epoch: 71/100 | Loss: 0.1766 | Trials: 34 | Win count: 32 | Win rate: 0.250 | Time: 44.07 minutes
Epoch: 72/100 | Loss: 0.1945 | Trials: 34 | Win count: 32 | Win rate: 0.250 | Time: 45.10 minutes
Epoch: 73/100 | Loss: 0.5686 | Trials: 2 | Win count: 33 | Win rate: 0.250 | Time: 45.14 minutes
Epoch: 74/100 | Loss: 0.1052 | Trials: 33 | Win count: 33 | Win rate: 0.250 | Time: 46.02 minutes
Epoch: 75/100 | Loss: 0.1462 | Trials: 34 | Win count: 33 | Win rate: 0.250 | Time: 46.99 minutes
Epoch: 76/100 | Loss: 0.1779 | Trials: 33 | Win count: 33 | Win rate: 0.250 | Time: 47.77 minutes
Epoch: 77/100 | Loss: 0.1962 | Trials: 34 | Win count: 33 | Win rate: 0.250 | Time: 48.58 minutes
Epoch: 78/100 | Loss: 0.2025 | Trials: 34 | Win count: 33 | Win rate: 0.125 | Time: 49.57 minutes
Epoch: 79/100 | Loss: 0.2041 | Trials: 34 | Win count: 33 | Win rate: 0.125 | Time: 50.57 minutes
Epoch: 80/100 | Loss: 0.5447 | Trials: 3 | Win count: 34 | Win rate: 0.250 | Time: 50.66 minutes
Epoch: 81/100 | Loss: 0.0942 | Trials: 33 | Win count: 34 | Win rate: 0.125 | Time: 51.98 minutes
Epoch: 82/100 | Loss: 0.3266 | Trials: 4 | Win count: 35 | Win rate: 0.250 | Time: 52.21 minutes
Epoch: 83/100 | Loss: 0.0959 | Trials: 34 | Win count: 35 | Win rate: 0.250 | Time: 53.43 minutes
Epoch: 84/100 | Loss: 0.3112 | Trials: 1 | Win count: 36 | Win rate: 0.375 | Time: 53.46 minutes
Epoch: 85/100 | Loss: 0.1954 | Trials: 13 | Win count: 37 | Win rate: 0.500 | Time: 53.91 minutes
Epoch: 86/100 | Loss: 0.3638 | Trials: 1 | Win count: 38 | Win rate: 0.625 | Time: 53.94 minutes
Epoch: 87/100 | Loss: 0.4997 | Trials: 1 | Win count: 39 | Win rate: 0.750 | Time: 53.96 minutes
Epoch: 88/100 | Loss: 0.5740 | Trials: 2 | Win count: 40 | Win rate: 0.750 | Time: 54.01 minutes
Epoch: 89/100 | Loss: 0.0790 | Trials: 33 | Win count: 41 | Win rate: 0.875 | Time: 54.74 minutes
Epoch: 90/100 | Loss: 0.1544 | Trials: 1 | Win count: 42 | Win rate: 0.875 | Time: 54.77 minutes
Epoch: 91/100 | Loss: 0.0772 | Trials: 34 | Win count: 43 | Win rate: 1.000 | Time: 55.73 minutes
Reached 100% win rate at epoch: 90
files: ../experiments/baseline_03/baseline_03.weights.h5, ../experiments/baseline_03/baseline_03.json
n_epoch: 90, max_mem: 8, data: 25, time: 55.73 minutes
