epoch,loss,steps,win,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.009846455417573452,35,0,0.0,4,31,-8.120000000000001,0.001,41.005039
1,0.07733312994241714,33,1,0.0,4,29,-6.58,0.001,82.989662
2,0.011919472366571426,36,0,0.0,5,31,-8.16,0.001,128.293261
3,0.16199186444282532,27,1,0.0,4,23,-5.08,0.001,162.027023
4,0.0644259974360466,34,0,0.0,4,30,-8.08,0.001,205.126749
5,0.15920065343379974,33,0,0.0,2,31,-8.04,0.001,246.015275
6,0.2278965413570404,33,0,0.0,4,29,-8.04,0.001,287.997574
7,0.2555205821990967,34,0,0.0,6,28,-8.08,0.001,330.566289
8,0.15722773969173431,35,0,0.25,5,30,-8.120000000000001,0.001,374.375975
9,0.17351014912128448,33,0,0.125,7,26,-8.04,0.001,417.877293
10,0.2071867734193802,33,0,0.125,7,26,-8.04,0.001,459.883956
11,0.2219802439212799,33,0,0.0,6,27,-8.04,0.001,502.474107
12,0.2392929047346115,33,0,0.0,5,28,-8.25,0.001,554.506083
13,0.4240860939025879,13,1,0.125,4,9,-1.58,0.001,571.656882
14,0.3010472059249878,15,1,0.25,5,10,-1.87,0.001,592.108782
15,0.06104857102036476,37,0,0.25,7,30,-8.2,0.001,644.226513
16,0.10991086065769196,33,0,0.25,4,29,-8.04,0.001,686.55688
17,0.32770174741744995,20,1,0.375,5,15,-3.12,0.001,711.885855
18,0.266440749168396,34,1,0.5,7,27,-6.2,0.001,754.798008
19,0.09789759665727615,35,0,0.5,5,30,-8.120000000000001,0.001,799.324377
20,0.32243606448173523,21,1,0.625,4,17,-3.58,0.001,833.25236
21,0.256489098072052,32,1,0.625,7,25,-5.7,0.001,878.6244
22,0.09153614938259125,36,0,0.5,4,32,-8.16,0.001,924.194817
23,0.15311932563781738,34,0,0.5,7,27,-8.08,0.001,968.380357
24,0.4731234908103943,1,1,0.625,2,0,1.0,0.001,969.602984
25,0.23622065782546997,24,1,0.625,4,20,-4.33,0.001,999.1676
26,0.2717863917350769,37,1,0.625,7,30,-6.95,0.001,1045.973363
27,0.2192407250404358,12,1,0.75,7,5,-0.7000000000000002,0.001,1061.308538
28,0.08809803426265717,34,0,0.625,7,27,-8.08,0.001,1104.067136
29,0.14538753032684326,34,0,0.5,7,27,-8.08,0.001,1147.719153
30,0.37713971734046936,36,1,0.625,6,30,-6.91,0.001,1193.538543
31,0.7260322570800781,1,1,0.75,2,0,1.0,0.001,1194.76646
32,0.8663231134414673,4,1,0.75,5,0,0.88,0.001,1199.691784
33,0.13307154178619385,14,1,0.75,5,9,-1.62,0.001,1217.801081
34,0.11491614580154419,32,1,0.75,5,27,-5.7,0.001,1258.31236
35,0.2213534414768219,1,1,0.75,2,0,1.0,0.001,1259.579479
36,0.3214646577835083,2,1,0.875,3,0,0.96,0.001,1262.144682
37,0.3568022549152374,4,1,1.0,5,0,0.88,0.001,1267.34416
