epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.04208165873773396,100,0,13,0.13,7,93,-1089.4,0.001,5.725991725921631
1,0.06216162194497883,100,0,22,0.22,3,97,-967.03,0.001,7.776108741760254
2,0.05772260524332523,100,0,27,0.27,5,95,-897.8099999999998,0.001,9.849787712097168
3,0.05969958934932947,100,0,19,0.19,10,90,-1008.9199999999997,0.001,12.739502668380737
4,0.05676317039877176,100,0,20,0.2,8,92,-994.46,0.001,15.167685747146606
5,0.06562670698389411,100,0,19,0.19,9,91,-1008.4299999999998,0.001,17.55721378326416
6,0.04967153980396688,100,0,19,0.19,10,90,-1007.67,0.001,19.666488647460938
7,0.05457444733008742,100,0,23,0.23,7,93,-955.6399999999999,0.001,22.12978982925415
8,0.06064463848248124,100,0,24,0.24,8,92,-940.6299999999998,0.001,24.082594633102417
9,0.049048536531627177,100,0,17,0.17,3,97,-1037.08,0.001,26.429364919662476
10,0.04910218539647758,100,0,26,0.26,3,97,-914.3799999999999,0.001,28.433900594711304
11,0.049981439393013714,100,0,4,0.04,6,94,-1211.1999999999996,0.001,30.50907874107361
12,0.05409303413704038,100,0,10,0.1,3,97,-1128.3099999999995,0.001,32.67991662025452
13,0.053669696860015395,100,0,5,0.05,4,96,-1197.6999999999996,0.001,35.19743990898132
14,0.05323809713125229,100,0,7,0.07,5,95,-1170.4599999999996,0.001,37.221367597579956
15,0.05386381641030311,100,0,3,0.03,6,94,-1224.9899999999993,0.001,39.19036793708801
16,0.0533107765391469,100,0,7,0.07,3,97,-1171.0099999999995,0.001,41.29334282875061
17,0.053425292298197744,100,0,6,0.06,3,97,-1185.2699999999998,0.001,43.6488938331604
18,0.05378043469041586,100,0,4,0.04,3,97,-1212.9999999999995,0.001,45.67868971824646
19,0.053649815171957015,100,0,6,0.06,2,98,-1185.5499999999997,0.001,47.70880675315857
20,0.053521394468843936,100,0,5,0.05,3,97,-1197.099999999999,0.001,49.84302067756653
21,0.05381110701709986,100,0,4,0.04,11,89,-1211.3999999999999,0.001,52.04474592208862
22,0.0535821857303381,100,0,5,0.05,7,93,-1199.1100000000001,0.001,54.04878377914429
23,0.05404341116547585,100,0,1,0.01,7,93,-1251.1299999999997,0.001,56.071178913116455
24,0.053452654741704464,100,0,6,0.06,8,92,-1184.3999999999996,0.001,58.2433819770813
25,0.053810152895748614,100,0,3,0.03,6,94,-1223.5199999999995,0.001,60.38345694541931
26,0.053635281547904014,100,0,4,0.04,8,92,-1211.6999999999991,0.001,62.50966763496399
27,0.0540067782253027,100,0,2,0.02,6,94,-1238.1999999999994,0.001,64.78154969215393
28,0.05381870124489069,100,0,4,0.04,4,96,-1210.1899999999994,0.001,67.09261584281921
29,0.0534786481410265,100,0,6,0.06,5,95,-1184.5099999999995,0.001,69.0799789428711
30,0.053197374902665615,100,0,9,0.09,7,93,-1143.9599999999998,0.001,70.96735882759094
31,0.05291900735348463,100,0,13,0.13,2,98,-1089.7599999999998,0.001,73.01445579528809
32,0.053247522823512555,100,0,7,0.07,4,96,-1170.86,0.001,75.10133075714111
33,0.053431699983775616,100,0,7,0.07,2,98,-1170.5499999999995,0.001,77.2339346408844
34,0.0531478963419795,100,0,7,0.07,4,96,-1170.6499999999996,0.001,79.1984236240387
35,0.05423082429915667,100,0,1,0.01,5,95,-1253.4899999999996,0.001,81.51571369171143
36,0.05374965187162161,100,0,4,0.04,7,93,-1211.5999999999992,0.001,83.61270093917847
37,0.05345338311046362,100,0,8,0.08,10,90,-1157.1599999999996,0.001,85.57821893692017
38,0.05322570253163576,100,0,6,0.06,7,93,-1183.9399999999996,0.001,87.525221824646
39,0.053301952220499514,100,0,8,0.08,6,94,-1157.7799999999997,0.001,89.96843791007996
40,0.053605739921331406,100,0,5,0.05,11,89,-1195.9199999999998,0.001,92.155592918396
41,0.0536688057333231,100,0,5,0.05,5,95,-1198.4399999999994,0.001,94.18528985977173
42,0.05395758975297213,100,0,2,0.02,11,89,-1238.8099999999993,0.001,96.497811794281
43,0.05354695465415716,100,0,5,0.05,5,95,-1197.8299999999995,0.001,98.49196267127991
44,0.05365305367857218,100,0,4,0.04,3,97,-1212.4599999999996,0.001,100.54212975502014
45,0.05395920109003782,100,0,0,0.0,5,95,-1265.1999999999994,0.001,103.22595477104187
46,0.0541587833315134,100,0,0,0.0,11,89,-1264.6399999999992,0.001,105.31654286384583
47,0.05415834542363882,100,0,0,0.0,11,89,-1267.1699999999998,0.001,107.4166407585144
48,0.05416621215641498,100,0,0,0.0,8,92,-1265.8399999999995,0.001,109.37047672271729
49,0.05416246425360441,100,0,0,0.0,5,95,-1267.109999999999,0.001,111.31397676467896
50,0.05416606198996306,100,0,0,0.0,4,96,-1265.0899999999995,0.001,113.27274775505066
51,0.05415628522634506,100,0,0,0.0,10,90,-1267.15,0.001,115.6448016166687
52,0.05416982617229223,100,0,0,0.0,5,95,-1265.2099999999994,0.001,117.85365176200867
53,0.05415158674120903,100,0,0,0.0,7,93,-1266.2499999999995,0.001,119.89956569671631
54,0.054172752536833284,100,0,0,0.0,4,96,-1264.4800000000002,0.001,121.88804292678833
55,0.05416263345628977,100,0,0,0.0,3,97,-1265.8699999999997,0.001,123.86307787895203
56,0.054158117696642874,100,0,0,0.0,4,96,-1267.1099999999992,0.001,125.81808280944824
57,0.05415832560509443,100,0,0,0.0,8,92,-1268.2099999999998,0.001,127.82693982124329
58,0.054160650670528415,100,0,0,0.0,11,89,-1266.3799999999994,0.001,129.74977684020996
59,0.054164860807359216,100,0,0,0.0,8,92,-1265.9499999999994,0.001,131.6631977558136
60,0.05416374072432518,100,0,0,0.0,10,90,-1266.1399999999996,0.001,133.57222771644592
61,0.054154567644000055,100,0,0,0.0,6,94,-1266.6599999999994,0.001,135.47710490226746
62,0.05417435213923454,100,0,0,0.0,2,98,-1266.2599999999998,0.001,137.54019570350647
63,0.05415498673915863,100,0,0,0.0,8,92,-1265.3299999999997,0.001,139.49221181869507
64,0.05416930988430977,100,0,0,0.0,5,95,-1264.9399999999994,0.001,141.45087385177612
65,0.0541656655818224,100,0,0,0.0,11,89,-1266.7999999999993,0.001,143.38058066368103
66,0.054158332273364064,100,0,0,0.0,8,92,-1266.34,0.001,145.2919065952301
67,0.05416053745895624,100,0,0,0.0,6,94,-1266.1699999999992,0.001,147.199768781662
68,0.0541739908978343,100,0,0,0.0,10,90,-1266.6299999999997,0.001,149.08291578292847
69,0.05415101505815983,100,0,0,0.0,5,95,-1264.1199999999992,0.001,151.0082449913025
70,0.05417008243501186,100,0,0,0.0,10,90,-1265.3799999999994,0.001,153.0732147693634
71,0.05415903773158789,100,0,0,0.0,2,98,-1267.3899999999992,0.001,155.02393174171448
72,0.05415074206888676,100,0,0,0.0,2,98,-1265.8599999999992,0.001,156.9213786125183
73,0.05416774097830057,100,0,0,0.0,6,94,-1266.1799999999994,0.001,158.8115839958191
