epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.05133422457613051,100,5781,26,0.26,4,96,-1375.589999999999,0.001,2.997412919998169
1,0.06129083642736077,100,5058,36,0.36,6,94,-1189.8999999999996,0.001,5.526392936706543
2,0.04786714710295201,100,6296,18,0.18,10,90,-1513.2899999999995,0.001,8.822921991348267
3,0.05840133242309094,100,5020,38,0.38,3,97,-1174.3300000000002,0.001,12.105859994888306
4,0.056709446925669905,100,5400,34,0.34,11,89,-1276.0099999999993,0.001,15.402633905410767
5,0.049468671744689344,100,5305,34,0.34,6,94,-1252.0500000000002,0.001,17.62671399116516
6,0.051568694105371835,100,5681,30,0.3,9,91,-1346.4299999999992,0.001,20.069875955581665
7,0.05261655346490443,100,6079,22,0.22,6,94,-1459.0799999999986,0.001,23.116861820220947
8,0.05588466940447688,100,5427,36,0.36,6,94,-1274.7999999999993,0.001,25.885266065597534
9,0.053104468658566474,100,5154,37,0.37,2,98,-1209.9199999999998,0.001,28.57048273086548
10,0.05316025654785335,100,5634,30,0.3,5,95,-1344.5499999999995,0.001,31.187134981155396
11,0.045681495303288105,100,5501,30,0.3,3,97,-1302.2699999999995,0.001,33.77169394493103
12,0.05243841417133808,100,5251,33,0.33,5,95,-1238.7499999999998,0.001,36.940231800079346
13,0.04794248470105231,100,5186,37,0.37,7,93,-1217.0799999999995,0.001,40.07489204406738
14,0.045134390871971845,100,5077,37,0.37,12,88,-1190.67,0.001,43.206093072891235
15,0.05470811415463686,100,5284,38,0.38,8,92,-1232.1399999999994,0.001,45.925244092941284
16,0.04023020318709314,100,5383,35,0.35,2,98,-1259.5899999999997,0.001,48.10867691040039
17,0.05235997833311558,100,4663,42,0.42,9,91,-1076.93,0.001,50.08855485916138
18,0.03719729367643595,100,5051,40,0.4,13,87,-1182.5199999999993,0.001,52.45390295982361
19,0.03986842810176313,100,5014,37,0.37,11,89,-1178.4900000000002,0.001,55.15651178359985
20,0.046577663430944084,100,5190,37,0.37,5,95,-1219.9699999999996,0.001,57.428871870040894
21,0.039987918268889186,100,4901,43,0.43,2,98,-1141.48,0.001,59.91571807861328
22,0.03094759336207062,100,4834,45,0.45,6,94,-1112.15,0.001,62.370956897735596
23,0.04493925542570651,100,4795,44,0.44,3,97,-1108.6899999999998,0.001,64.63018298149109
24,0.048428277969360355,100,5068,40,0.4,9,91,-1180.26,0.001,67.38376903533936
25,0.04365376217290759,100,4976,38,0.38,7,93,-1160.3899999999996,0.001,69.39630889892578
26,0.03775727226398885,100,4467,53,0.53,7,93,-1009.98,0.001,71.20937895774841
27,0.044392349757254125,100,5533,33,0.33,6,94,-1303.5799999999995,0.001,73.38273978233337
28,0.040365653233602646,100,4533,49,0.49,12,88,-1037.15,0.001,75.16648006439209
29,0.03887704597786069,100,3992,52,0.52,3,97,-908.8599999999996,0.001,76.83454084396362
30,0.02494595623575151,100,3114,68,0.68,6,94,-654.2400000000001,0.001,78.3772189617157
31,0.03349340360146016,100,5049,38,0.38,10,90,-1180.32,0.001,80.72531700134277
32,0.03767603886080906,100,5242,43,0.43,9,91,-1217.2799999999995,0.001,83.24704885482788
33,0.02404328416159842,100,3105,68,0.68,2,98,-646.1099999999999,0.001,84.98324608802795
34,0.023939991004299374,100,3512,67,0.67,5,95,-748.6900000000002,0.001,86.90144991874695
35,0.03398492681328207,100,4986,45,0.45,2,98,-1136.9200000000003,0.001,89.05437588691711
36,0.027638961336342617,100,4027,59,0.59,6,94,-889.9599999999997,0.001,91.03919982910156
37,0.024159327936940825,100,3721,58,0.58,5,95,-821.2200000000001,0.001,92.73540711402893
38,0.028835644627688454,100,4277,54,0.54,8,92,-957.6600000000005,0.001,94.6561279296875
39,0.02575677223969251,100,2980,74,0.74,7,93,-608.4100000000001,0.001,96.30520486831665
40,0.014947555888502393,100,2378,83,0.83,8,92,-435.9500000000002,0.001,97.71323108673096
41,0.02664253584371181,100,3449,64,0.64,3,97,-743.4100000000003,0.001,99.29307198524475
42,0.01699696556897834,100,2519,79,0.79,11,89,-482.50000000000006,0.001,100.78538107872009
43,0.02102706870849943,100,3115,72,0.72,11,89,-643.6100000000002,0.001,102.50724506378174
44,0.01392393503105268,100,2273,83,0.83,7,93,-412.6400000000002,0.001,103.76861691474915
45,0.012759175198298181,100,2264,84,0.84,7,93,-410.4,0.001,105.07161092758179
46,0.01610643420543056,100,2414,78,0.78,5,95,-462.33000000000004,0.001,106.34700417518616
47,0.035056636461522434,100,4265,49,0.49,8,92,-967.84,0.001,108.15444302558899
48,0.03339962578844279,100,4327,50,0.5,4,96,-979.7799999999999,0.001,110.11345982551575
49,0.01448989249096485,100,1937,81,0.81,5,95,-338.28000000000003,0.001,111.38298010826111
50,0.018458709543483564,100,3283,67,0.67,10,90,-689.76,0.001,112.91472101211548
51,0.02634295669995481,100,3432,62,0.62,13,87,-738.7199999999999,0.001,114.41887402534485
52,0.02283753128896933,100,3142,69,0.69,6,94,-651.8000000000002,0.001,115.82699584960938
53,0.022699882892193272,100,3134,75,0.75,13,87,-641.6700000000001,0.001,117.24481391906738
54,0.011941421381779947,100,1875,86,0.86,9,91,-308.34000000000003,0.001,118.4046859741211
55,0.02246315207099542,100,3034,72,0.72,8,92,-615.5900000000004,0.001,119.94225287437439
56,0.014581135034204636,100,2051,86,0.86,2,98,-357.3799999999999,0.001,121.16851091384888
57,0.014837769991427194,100,2305,85,0.85,9,91,-414.7799999999999,0.001,122.36586785316467
58,0.03541637158283265,100,4842,40,0.4,2,98,-1128.3799999999997,0.001,124.10832977294922
59,0.01588132472417783,100,2118,86,0.86,11,89,-366.1499999999998,0.001,125.27509093284607
60,0.022882682502386162,100,3252,68,0.68,7,93,-684.5400000000002,0.001,126.81475973129272
61,0.016969419441593345,100,2469,81,0.81,5,95,-462.4600000000002,0.001,128.0575909614563
62,0.013328096314508002,100,2317,81,0.81,11,89,-428.4500000000001,0.001,129.21939492225647
63,0.014607631891558413,100,2013,84,0.84,4,96,-350.3799999999999,0.001,130.32806181907654
64,0.02087407100487326,100,2957,70,0.7,8,92,-606.19,0.001,131.59055304527283
65,0.012272083258940256,100,1699,86,0.86,9,91,-276.3099999999999,0.001,132.59733390808105
66,0.01409711820044322,100,2042,81,0.81,5,95,-361.17,0.001,133.70505785942078
67,0.01130933580585406,100,1929,85,0.85,8,92,-329.1799999999999,0.001,134.76275491714478
68,0.015319417344871909,100,2240,83,0.83,4,96,-404.3900000000001,0.001,135.88119912147522
69,0.01448574011650635,100,2579,78,0.78,12,88,-489.29999999999995,0.001,137.1181480884552
70,0.014220870021381416,100,2011,81,0.81,5,95,-347.33000000000015,0.001,138.1849970817566
71,0.03160550138913095,100,3639,56,0.56,6,94,-808.0500000000002,0.001,139.6025309562683
72,0.014338317203219049,100,2309,80,0.8,3,97,-423.50000000000017,0.001,140.77433800697327
73,0.018976639997272286,100,2459,74,0.74,2,98,-481.93999999999994,0.001,142.04435181617737
74,0.044161599399521946,100,5378,29,0.29,10,90,-1278.859999999999,0.001,143.83327889442444
75,0.010286917930934579,100,1710,90,0.9,10,90,-259.3599999999999,0.001,144.8680329322815
76,0.011434689530287869,100,1959,86,0.86,2,98,-333.75000000000006,0.001,146.40030097961426
77,0.01764287595055066,100,2808,74,0.74,8,92,-558.4800000000001,0.001,147.63321805000305
78,0.018635166619496886,100,2241,83,0.83,6,94,-398.5500000000001,0.001,148.7267849445343
79,0.009159356447926257,100,1937,89,0.89,10,90,-313.7900000000001,0.001,149.76105308532715
80,0.01730377563028014,100,2674,77,0.77,10,90,-512.62,0.001,151.1184389591217
81,0.010695762028481113,100,1819,86,0.86,9,91,-284.04999999999995,0.001,152.13578581809998
82,0.010362704600556754,100,1547,92,0.92,8,92,-211.48999999999984,0.001,154.0760359764099
83,0.012885824269978911,100,1779,90,0.9,5,95,-265.47999999999996,0.001,155.63302397727966
84,0.01744898073055083,100,2250,80,0.8,8,92,-417.15,0.001,157.1404778957367
85,0.019134844558138867,100,2291,76,0.76,6,94,-433.6599999999999,0.001,158.46430087089539
86,0.010746836122707463,100,1673,87,0.87,12,88,-251.3399999999999,0.001,159.77594375610352
87,0.01634288064786233,100,2341,80,0.8,10,90,-435.70000000000016,0.001,161.0767469406128
88,0.0156616292783292,100,1892,86,0.86,6,94,-307.7600000000001,0.001,162.24163699150085
89,0.008162584093079205,100,1461,90,0.9,5,95,-199.20999999999995,0.001,163.45529699325562
90,0.01684142549871467,100,2445,76,0.76,6,94,-470.2700000000001,0.001,164.80201482772827
91,0.013572909222275484,100,1914,89,0.89,12,88,-307.4099999999999,0.001,166.0931041240692
92,0.016131979756319196,100,2681,76,0.76,6,94,-524.65,0.001,167.67194890975952
93,0.011521612253272907,100,2208,80,0.8,13,87,-399.0899999999999,0.001,168.9308569431305
94,0.011259212706063408,100,1444,93,0.93,9,91,-184.07000000000008,0.001,170.08132696151733
95,0.011624307720921934,100,1652,90,0.9,8,92,-243.18000000000004,0.001,171.43898105621338
96,0.005564584958374325,100,1127,95,0.95,8,92,-109.88,0.001,172.5354208946228
97,0.00772835838215542,100,1634,86,0.86,9,91,-250.18999999999997,0.001,173.67902398109436
98,0.014796950148011093,100,1915,84,0.84,8,92,-314.5400000000001,0.001,175.0271589756012
99,0.01228808924832265,100,2057,80,0.8,6,94,-365.75000000000006,0.001,176.1964499950409
100,0.02046329626420629,100,2553,72,0.72,6,94,-504.58000000000004,0.001,177.576477766037
101,0.014931772582640406,100,1714,94,0.94,3,97,-247.16999999999987,0.001,178.719379901886
102,0.00743600620298821,100,1705,87,0.87,12,88,-259.9699999999999,0.001,179.9650490283966
103,0.024030472497397568,100,3138,66,0.66,11,89,-655.8100000000003,0.001,181.51978492736816
104,0.007076268348755548,100,2002,87,0.87,4,96,-325.18999999999994,0.001,182.61975479125977
105,0.014546482455043587,100,2342,84,0.84,5,95,-415.4099999999999,0.001,183.77023601531982
106,0.007010746869418653,100,1330,91,0.91,4,96,-164.78999999999994,0.001,184.73424792289734
107,0.011400492291140835,100,1829,86,0.86,6,94,-289.7000000000001,0.001,186.00633096694946
108,0.011897961516515352,100,2272,82,0.82,13,87,-416.1600000000001,0.001,187.4597680568695
109,0.00891063405535533,100,1367,92,0.92,5,95,-168.79999999999998,0.001,188.63230681419373
110,0.0037813271619234,100,803,97,0.97,13,87,-12.729999999999976,0.001,189.46506786346436
111,0.01143150285774027,100,1861,85,0.85,9,91,-306.29999999999995,0.001,190.55857396125793
112,0.01823540689791116,100,2381,79,0.79,10,90,-449.05000000000007,0.001,191.71465587615967
113,0.007154872321989387,100,1554,89,0.89,5,95,-213.83999999999997,0.001,192.76880598068237
114,0.018571280542964815,100,2483,73,0.73,6,94,-486.46000000000015,0.001,194.0569989681244
115,0.015584568462800234,100,1905,84,0.84,9,91,-316.44999999999993,0.001,195.1700520515442
