epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.0004872529208660126,100,0,0,0.0,4,96,-1259.3799999999994,0.001,1.4314820766448975
1,0.0003879929333925247,100,0,0,0.0,5,95,-1260.459999999999,0.001,2.6977710723876953
2,0.00030928030610084535,100,0,0,0.0,10,90,-1261.2299999999998,0.001,3.9569950103759766
3,0.00024665500968694686,100,0,0,0.0,7,93,-1260.479999999999,0.001,5.286086082458496
4,0.00020283665508031846,100,0,0,0.0,10,90,-1260.9299999999998,0.001,6.546032190322876
5,0.00016988541930913924,100,0,3,0.03,6,94,-1228.7799999999993,0.001,7.716813087463379
6,0.00014995098114013673,100,0,9,0.09,7,93,-1180.549999999999,0.001,8.85042405128479
7,0.0001521265972405672,100,0,0,0.0,4,96,-1260.8599999999992,0.001,10.04062819480896
8,0.0001504191942512989,100,0,0,0.0,5,95,-1259.8399999999986,0.001,11.230700969696045
9,0.0001454734057188034,100,0,0,0.0,4,96,-1259.9499999999994,0.001,12.414997100830078
10,0.00013827091082930566,100,0,0,0.0,11,89,-1259.7099999999991,0.001,13.588841915130615
11,0.00014051862061023712,100,0,20,0.2,5,95,-1044.06,0.001,14.616509199142456
12,0.00013741171918809413,100,0,22,0.22,6,94,-974.0399999999998,0.001,15.57712197303772
13,0.00013383201323449612,100,0,21,0.21,10,90,-987.5099999999998,0.001,16.545063257217407
14,9.828638285398483e-05,100,0,19,0.19,7,93,-1017.3500000000001,0.001,17.569000244140625
15,0.00012425052002072335,100,0,17,0.17,11,89,-1030.8700000000001,0.001,18.59511709213257
16,0.0006245247274637222,100,0,9,0.09,2,98,-1164.3999999999996,0.001,19.720237016677856
17,0.00012148510664701462,100,0,6,0.06,11,89,-1218.8499999999995,0.001,20.931795120239258
18,0.00012127955444157123,100,0,6,0.06,4,96,-1208.6999999999996,0.001,22.133406162261963
19,0.00012163024395704269,100,0,5,0.05,10,90,-1235.6799999999996,0.001,23.33676528930664
20,0.0001224170345813036,100,0,0,0.0,3,97,-1261.2399999999996,0.001,24.584789037704468
21,0.0001177965011447668,100,0,0,0.0,10,90,-1260.589999999999,0.001,25.826348066329956
22,0.00012525061145424843,100,0,0,0.0,6,94,-1259.3599999999992,0.001,27.0784912109375
23,0.00012768488377332688,100,0,0,0.0,5,95,-1260.239999999999,0.001,28.31922197341919
24,0.00012992077507078647,100,0,0,0.0,5,95,-1259.0499999999993,0.001,29.561567068099976
25,0.00013322402723133563,100,0,1,0.01,4,96,-1249.339999999999,0.001,30.793947219848633
26,0.00013521804474294185,100,0,0,0.0,5,95,-1259.4199999999992,0.001,32.04823923110962
27,0.00014361092820763588,100,0,0,0.0,4,96,-1259.7399999999996,0.001,33.29707217216492
28,0.00014825780875980853,100,0,3,0.03,9,91,-1219.7999999999993,0.001,34.50135397911072
29,0.00014508167281746865,100,0,7,0.07,6,94,-1169.6099999999997,0.001,35.66594099998474
30,0.00015366949141025542,100,0,7,0.07,2,98,-1175.6199999999992,0.001,36.830629110336304
