epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.040070111704990266,100,4867,10,0.1,9,91,-1169.6099999999994,0.001,2.6272950172424316
1,0.05682442089542747,100,4576,13,0.13,5,95,-1103.8200000000002,0.001,4.825812101364136
2,0.054269058033823966,100,4771,12,0.12,11,89,-1147.1,0.001,9.077147006988525
3,0.05351806241087616,100,4570,16,0.16,9,91,-1096.89,0.001,13.051910877227783
4,0.052118417788296935,100,4786,11,0.11,7,93,-1151.0499999999995,0.001,15.45892882347107
5,0.051733619756996634,100,4398,21,0.21,8,92,-1038.1900000000005,0.001,17.694884777069092
6,0.04824473446235061,100,4299,19,0.19,3,97,-1023.0799999999999,0.001,20.228574991226196
7,0.04784219026565552,100,4727,9,0.09,5,95,-1143.21,0.001,22.614086866378784
8,0.04466590384952724,100,4402,20,0.2,10,90,-1053.4600000000007,0.001,24.758527994155884
9,0.05268221577629447,100,4147,26,0.26,9,91,-983.6800000000001,0.001,26.790698051452637
10,0.04686553227715194,100,3833,32,0.32,6,94,-893.9000000000004,0.001,28.900223970413208
11,0.04279177613556385,100,3746,31,0.31,2,98,-872.1400000000002,0.001,30.741514921188354
12,0.046470655417069795,100,3933,27,0.27,3,97,-925.9900000000001,0.001,32.57002282142639
13,0.033730004681274295,100,3382,42,0.42,3,97,-763.6100000000004,0.001,34.26970887184143
14,0.03923837723676115,100,3524,39,0.39,10,90,-806.0099999999999,0.001,36.588423013687134
15,0.04033971890807152,100,4061,26,0.26,13,87,-958.8200000000005,0.001,39.172571897506714
16,0.04074043679982424,100,3564,39,0.39,7,93,-809.7100000000007,0.001,41.44221591949463
17,0.033934489069506524,100,3413,41,0.41,10,90,-777.4400000000002,0.001,43.755017042160034
18,0.03384757184889167,100,3362,42,0.42,13,87,-765.12,0.001,45.34606909751892
19,0.03413817634951556,100,2805,52,0.52,6,94,-613.58,0.001,47.272942781448364
20,0.03322206527576782,100,2977,45,0.45,8,92,-665.33,0.001,48.997190952301025
21,0.03881032248726115,100,3127,46,0.46,9,91,-700.5300000000002,0.001,50.980013847351074
22,0.030656265802972486,100,2918,47,0.47,4,96,-643.2500000000002,0.001,52.70015907287598
23,0.03673335064086132,100,3410,39,0.39,6,94,-774.7800000000008,0.001,54.74761199951172
24,0.03490112479776144,100,3379,38,0.38,6,94,-771.0100000000001,0.001,56.41120004653931
25,0.038113940553739664,100,3523,37,0.37,6,94,-806.9999999999999,0.001,58.144590854644775
26,0.030904497109586374,100,2734,54,0.54,5,95,-581.7800000000003,0.001,59.59689784049988
27,0.02919927482929779,100,2853,50,0.5,12,88,-621.1499999999997,0.001,61.111236810684204
28,0.030982076947111636,100,3008,48,0.48,12,88,-659.2500000000005,0.001,62.72610688209534
29,0.030021708292188122,100,2602,54,0.54,6,94,-554.6600000000001,0.001,64.1405508518219
30,0.02943195271771401,100,2595,54,0.54,7,93,-547.4500000000002,0.001,65.63512396812439
31,0.024139042070601135,100,2383,60,0.6,12,88,-488.84000000000015,0.001,67.72465395927429
32,0.024722369939554484,100,2698,53,0.53,3,97,-574.4500000000002,0.001,69.25001788139343
33,0.02653625931532588,100,2811,51,0.51,6,94,-606.88,0.001,70.8784430027008
34,0.021768548382679002,100,2266,62,0.62,7,93,-452.2600000000004,0.001,72.28385186195374
35,0.015136844153748824,100,2001,74,0.74,6,94,-357.7800000000001,0.001,73.88503885269165
36,0.010636037700751331,100,1444,85,0.85,4,96,-197.85000000000002,0.001,75.0270528793335
37,0.00391330945516529,100,917,96,0.96,13,87,-31.769999999999886,0.001,76.02146005630493
38,0.0004981888902148057,100,672,100,1.0,10,90,48.55000000000005,0.001,76.95657873153687
