epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.00032836712896823885,100,0,0,0.0,7,93,-1260.7599999999993,0.001,2.0743958950042725
1,0.00024833668023347853,100,0,0,0.0,2,98,-1260.639999999999,0.001,3.8645718097686768
2,0.00022698599845170973,100,0,13,0.13,7,93,-1167.4299999999994,0.001,5.496906995773315
3,0.0001879187673330307,100,0,10,0.1,6,94,-1166.3699999999994,0.001,7.13126277923584
4,0.00017701096832752227,100,0,11,0.11,7,93,-1161.8300000000002,0.001,8.79128384590149
5,0.0001542564295232296,100,0,12,0.12,7,93,-1146.6,0.001,10.657503843307495
6,0.00014929968863725663,100,0,15,0.15,3,97,-1123.1799999999992,0.001,12.400329828262329
7,0.00014324360527098178,100,0,11,0.11,7,93,-1181.5399999999995,0.001,14.097416877746582
8,0.00012867894023656844,100,0,12,0.12,4,96,-1126.8399999999995,0.001,15.676896810531616
9,0.00013525297865271568,100,0,1,0.01,7,93,-1248.899999999999,0.001,17.332753896713257
10,0.00013169626705348492,100,0,0,0.0,7,93,-1259.4799999999987,0.001,19.02373504638672
11,0.00012833449989557266,100,0,7,0.07,7,93,-1198.389999999999,0.001,20.625972986221313
12,0.00012625332921743394,100,0,0,0.0,8,92,-1259.2299999999989,0.001,22.309377908706665
13,0.00012438664212822915,100,0,0,0.0,7,93,-1260.5899999999997,0.001,24.014523029327393
14,0.0001226329803466797,100,0,0,0.0,5,95,-1260.2699999999988,0.001,25.732500791549683
15,0.00012135360389947891,100,0,0,0.0,7,93,-1261.57,0.001,27.444188833236694
16,0.00012164005078375339,100,0,1,0.01,7,93,-1246.6099999999992,0.001,29.105856895446777
17,0.0001224556565284729,100,0,3,0.03,8,92,-1236.2899999999993,0.001,30.750602960586548
18,0.00012133819982409477,100,0,3,0.03,4,96,-1250.7899999999995,0.001,32.44044780731201
19,0.00012519443407654762,100,0,8,0.08,7,93,-1187.4099999999994,0.001,34.04715585708618
20,0.0001269984431564808,100,0,14,0.14,9,91,-1133.4099999999996,0.001,35.604437828063965
21,0.000841277614235878,100,0,14,0.14,6,94,-1161.6299999999999,0.001,37.18566083908081
22,0.00013254020363092422,100,0,11,0.11,6,94,-1151.0899999999997,0.001,38.74985384941101
23,0.00013529336079955102,100,0,17,0.17,9,91,-1092.5999999999995,0.001,40.26755094528198
24,0.00010593065991997718,100,0,14,0.14,8,92,-1133.8400000000001,0.001,41.827117919921875
25,0.00013812136836349964,100,0,15,0.15,6,94,-1071.01,0.001,43.295344829559326
26,0.00010085281915962696,100,0,11,0.11,7,93,-1144.9100000000003,0.001,44.84628891944885
27,0.0009451228380203247,100,0,12,0.12,5,95,-1153.3499999999997,0.001,46.43641114234924
28,0.0001587304100394249,100,0,9,0.09,6,94,-1182.5999999999995,0.001,48.0316698551178
29,0.0010718490183353425,100,0,9,0.09,2,98,-1156.9399999999994,0.001,49.627289056777954
30,0.0001700584962964058,100,0,13,0.13,9,91,-1127.7499999999993,0.001,51.16033887863159
31,0.0010594458132982254,100,0,11,0.11,4,96,-1125.8499999999995,0.001,52.70079684257507
32,0.00018612727522850038,100,0,13,0.13,6,94,-1126.9099999999994,0.001,54.255072832107544
33,0.00018983881920576096,100,0,13,0.13,8,92,-1157.0899999999995,0.001,55.86413097381592
34,0.00019534653052687644,100,0,15,0.15,6,94,-1138.8499999999997,0.001,57.417624950408936
35,0.00020335206761956214,100,0,10,0.1,6,94,-1186.0099999999993,0.001,59.05181694030762
36,0.00020237021148204802,100,0,13,0.13,5,95,-1168.6499999999999,0.001,60.65629291534424
37,0.00022004267200827598,100,0,14,0.14,3,97,-1152.0999999999997,0.001,62.24257779121399
38,0.0001907053217291832,100,0,13,0.13,6,94,-1131.6,0.001,63.807206869125366
39,0.0002458498440682888,100,0,10,0.1,8,92,-1164.7699999999995,0.001,65.39632081985474
40,0.00025622079148888586,100,0,10,0.1,4,96,-1162.04,0.001,67.29271388053894
41,0.0002584683895111084,100,0,10,0.1,4,96,-1165.85,0.001,69.1906087398529
42,0.0002857527509331703,100,0,10,0.1,6,94,-1171.9199999999996,0.001,70.9818229675293
43,0.0002793719619512558,100,0,8,0.08,9,91,-1186.2599999999989,0.001,73.00247693061829
44,0.0003086412139236927,100,0,6,0.06,6,94,-1209.6799999999996,0.001,75.37071204185486
45,0.0017488697171211243,100,0,7,0.07,2,98,-1181.9099999999992,0.001,77.5829508304596
46,0.0003235256299376488,100,0,10,0.1,6,94,-1188.5399999999995,0.001,79.70540690422058
47,0.000338326171040535,100,0,8,0.08,6,94,-1202.9299999999992,0.001,81.68919801712036
48,0.00034245196729898453,100,0,11,0.11,9,91,-1135.1599999999996,0.001,83.34597182273865
49,0.00034936774522066117,100,0,11,0.11,5,95,-1161.0699999999997,0.001,85.28423190116882
50,0.00035839546471834184,100,0,8,0.08,4,96,-1189.5499999999997,0.001,87.06665897369385
51,0.000355459526181221,100,0,14,0.14,6,94,-1104.4199999999996,0.001,88.59143686294556
52,0.00038466867059469225,100,0,10,0.1,6,94,-1176.5299999999993,0.001,90.20727705955505
53,0.0003588496893644333,100,0,9,0.09,2,98,-1165.809999999999,0.001,91.81296396255493
54,0.00042074337601661683,100,0,11,0.11,7,93,-1145.319999999999,0.001,93.42754983901978
55,0.0004192345216870308,100,0,15,0.15,8,92,-1112.0699999999997,0.001,94.98251485824585
56,0.00038268547505140307,100,0,17,0.17,6,94,-1150.5299999999995,0.001,96.57201409339905
57,0.0004506684839725494,100,0,11,0.11,7,93,-1165.4299999999996,0.001,98.18926405906677
58,0.0019032958149909974,100,0,16,0.16,2,98,-1123.7699999999995,0.001,99.77476811408997
59,0.0004662993922829628,100,0,11,0.11,7,93,-1160.36,0.001,101.40782690048218
60,0.00043798156082630157,100,0,13,0.13,7,93,-1131.2699999999998,0.001,103.01423406600952
61,0.00043316543102264407,100,0,9,0.09,6,94,-1172.5999999999988,0.001,104.63234090805054
62,0.00044117584824562075,100,0,10,0.1,5,95,-1169.1599999999994,0.001,106.2482659816742
63,0.00042037621140480043,100,0,13,0.13,6,94,-1122.7399999999996,0.001,107.80743479728699
64,0.00040163878351449965,100,0,13,0.13,7,93,-1146.489999999999,0.001,109.37244486808777
65,0.00041753727942705154,100,0,12,0.12,7,93,-1129.5699999999993,0.001,110.9369158744812
66,0.00042338091880083083,100,0,14,0.14,5,95,-1124.9899999999996,0.001,112.49301385879517
67,0.00042118050158023834,100,0,13,0.13,4,96,-1119.1299999999999,0.001,114.03855776786804
68,0.00041616462171077727,100,0,8,0.08,8,92,-1177.5599999999995,0.001,115.68673777580261
69,0.00042701467871665956,100,0,9,0.09,5,95,-1157.4399999999996,0.001,117.2907030582428
70,0.00043974269181489944,100,0,13,0.13,6,94,-1139.0600000000002,0.001,118.86551189422607
71,0.0004347444698214531,100,0,13,0.13,3,97,-1121.7199999999996,0.001,120.41967582702637
72,0.00046061985194683074,100,0,17,0.17,3,97,-1074.1099999999997,0.001,121.91270709037781
73,0.0004629870504140854,100,0,13,0.13,4,96,-1124.12,0.001,123.4527690410614
74,0.00046528812497854233,100,0,12,0.12,7,93,-1170.0399999999995,0.001,125.06097984313965
