epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.0350276854634285,100,0,1,0.01,6,94,-1262.2799999999995,0.001,2.30362606048584
1,0.044536462035030124,100,0,2,0.02,5,95,-1246.2799999999997,0.001,4.412949085235596
2,0.04485257338732481,100,0,2,0.02,6,94,-1244.9199999999994,0.001,6.91404128074646
3,0.04844686433672905,100,0,8,0.08,7,93,-1171.2899999999997,0.001,8.856896162033081
4,0.04708865582942963,100,0,3,0.03,5,95,-1223.4599999999994,0.001,10.965355157852173
5,0.04723454054445028,100,0,5,0.05,6,94,-1221.01,0.001,13.056924104690552
6,0.04668688431382179,100,0,5,0.05,6,94,-1200.7699999999995,0.001,15.432193040847778
7,0.04747950252145529,100,0,5,0.05,8,92,-1204.1299999999994,0.001,17.440677881240845
8,0.04535413451492786,100,0,2,0.02,9,91,-1237.6599999999996,0.001,19.365426063537598
9,0.052566510848701,100,0,15,0.15,9,91,-1075.4999999999998,0.001,21.447617053985596
10,0.04721529183909297,100,0,11,0.11,5,95,-1113.1799999999994,0.001,23.70052695274353
11,0.046674113068729636,100,0,33,0.33,7,93,-817.0699999999997,0.001,25.43881916999817
12,0.0466938815638423,100,0,31,0.31,9,91,-852.12,0.001,27.093608140945435
13,0.04015117564238608,100,0,32,0.32,7,93,-840.69,0.001,28.735384225845337
14,0.02417189449071884,100,0,52,0.52,4,96,-560.9999999999999,0.001,30.36865496635437
15,0.022767273462959564,100,0,64,0.64,6,94,-403.7799999999999,0.001,31.600682020187378
16,0.02502618940314278,100,0,64,0.64,6,94,-411.42000000000013,0.001,32.82867097854614
17,0.02020363567629829,100,0,71,0.71,5,95,-305.64000000000004,0.001,34.0828800201416
18,0.018953523543896154,100,0,70,0.7,7,93,-326.62000000000006,0.001,35.39137315750122
19,0.011997131614480168,100,0,77,0.77,7,93,-224.2299999999999,0.001,36.57957410812378
20,0.012024944808217697,100,0,72,0.72,6,94,-292.67,0.001,38.03737807273865
21,0.014825460738939,100,0,79,0.79,5,95,-202.67999999999986,0.001,39.246525049209595
22,0.008952082098694518,100,0,86,0.86,6,94,-111.74999999999997,0.001,40.26455521583557
23,0.012562860290636309,100,0,76,0.76,7,93,-248.35999999999993,0.001,41.391072034835815
24,0.009944772182498127,100,0,91,0.91,6,94,-50.14999999999994,0.001,42.25583219528198
25,0.009428095915209269,100,0,82,0.82,3,97,-157.50999999999996,0.001,43.23268795013428
26,0.010794847180950456,100,0,84,0.84,6,94,-139.6299999999999,0.001,44.180854082107544
27,0.012203483652992873,100,0,79,0.79,7,93,-198.24999999999994,0.001,45.44198298454285
28,0.008240529356116895,100,0,88,0.88,6,94,-76.32999999999997,0.001,46.54973602294922
29,0.012618386842805194,100,0,82,0.82,6,94,-169.72999999999993,0.001,47.60593914985657
30,0.010908487618435174,100,0,84,0.84,4,96,-129.01999999999998,0.001,48.57291913032532
31,0.0167079139515954,100,0,78,0.78,7,93,-219.01000000000002,0.001,49.618793964385986
32,0.009891259640353383,100,0,84,0.84,7,93,-130.10999999999999,0.001,50.570131063461304
33,0.006652679639082635,100,0,86,0.86,3,97,-113.33,0.001,51.516846895217896
34,0.014684203498363786,100,0,79,0.79,6,94,-199.23999999999998,0.001,52.779428005218506
35,0.011434010316006606,100,0,78,0.78,7,93,-218.41000000000005,0.001,53.989323139190674
36,0.013284282369422726,100,0,79,0.79,9,91,-206.84999999999997,0.001,55.11430215835571
37,0.0097562280996317,100,0,84,0.84,4,96,-130.86,0.001,56.14540195465088
38,0.010907840157160535,100,0,81,0.81,5,95,-190.80999999999997,0.001,57.20048213005066
39,0.010311431297159288,100,0,83,0.83,5,95,-145.58999999999995,0.001,58.20708513259888
40,0.011494776493054814,100,0,80,0.8,4,96,-185.28999999999994,0.001,59.23492217063904
41,0.014397194640296221,100,0,80,0.8,9,91,-196.48,0.001,60.472996950149536
42,0.01014204929704647,100,0,84,0.84,8,92,-129.04000000000008,0.001,61.639095067977905
43,0.008082322352056508,100,0,87,0.87,9,91,-89.73,0.001,62.61990404129028
44,0.0067269301256237665,100,0,88,0.88,9,91,-76.86999999999998,0.001,63.541123151779175
45,0.011743538424616418,100,0,82,0.82,6,94,-165.48999999999995,0.001,64.56553292274475
46,0.0078010741346224675,100,0,84,0.84,6,94,-130.0900000000001,0.001,65.57027006149292
47,0.008747009511716896,100,0,85,0.85,3,97,-117.53999999999999,0.001,66.5166220664978
48,0.01221191866476147,100,0,78,0.78,6,94,-212.22000000000003,0.001,67.63717103004456
49,0.01371882844472566,100,0,81,0.81,6,94,-174.89999999999995,0.001,68.91764402389526
50,0.013199909931354342,100,0,78,0.78,7,93,-212.69999999999996,0.001,70.12641310691833
51,0.008805635964417888,100,0,86,0.86,2,98,-116.33,0.001,71.12568807601929
52,0.011527750727036618,100,0,80,0.8,3,97,-187.6599999999999,0.001,72.18513894081116
53,0.011012134254960983,100,0,79,0.79,4,96,-209.47999999999996,0.001,73.30494499206543
54,0.01158281187810644,100,0,81,0.81,9,91,-170.31,0.001,74.32101011276245
55,0.011270070291520823,100,0,84,0.84,6,94,-131.56,0.001,75.49043798446655
56,0.009448905102581194,100,0,87,0.87,6,94,-89.26,0.001,76.6206521987915
57,0.01261674874345772,100,0,79,0.79,9,91,-199.58000000000004,0.001,77.67967391014099
58,0.014759450138371903,100,0,77,0.77,7,93,-226.38000000000002,0.001,78.78551888465881
59,0.008522590056891204,100,0,85,0.85,6,94,-117.99000000000002,0.001,79.7393889427185
60,0.013973877833959704,100,0,78,0.78,6,94,-211.9799999999999,0.001,80.77783989906311
61,0.01405385940321139,100,0,84,0.84,2,98,-151.07999999999993,0.001,81.74498105049133
62,0.009215447686656261,100,0,80,0.8,4,96,-184.73000000000005,0.001,82.87167811393738
63,0.012704804574823356,100,0,78,0.78,9,91,-211.59,0.001,84.17307806015015
64,0.012957475792863988,100,0,81,0.81,8,92,-172.44999999999993,0.001,85.32785415649414
65,0.017492102059622993,100,0,80,0.8,7,93,-196.06999999999996,0.001,86.4023790359497
