epoch,episode,step,dopamine,reward,status
25,0,0,1.0,1.0,win
25,1,0,1.0,-0.04,not_over
25,1,1,1.0,-0.04,not_over
25,1,2,1.0,1.0,win
25,2,0,1.0,-0.04,not_over
25,2,1,1.0,-0.04,not_over
25,2,2,1.0,1.0,win
25,3,0,1.0,-0.04,not_over
25,3,1,1.0,-0.04,not_over
25,3,2,1.0,1.0,win
25,4,0,1.0,-0.04,not_over
25,4,1,1.0,-0.04,not_over
25,4,2,1.0,-0.04,not_over
25,4,3,1.0,-0.04,not_over
25,4,4,1.0,1.0,win
25,5,0,1.0,-0.04,not_over
25,5,1,1.0,-0.04,not_over
25,5,2,1.0,1.0,win
25,6,0,1.0,-0.04,not_over
25,6,1,1.0,-0.04,not_over
25,6,2,1.0,-0.04,not_over
25,6,3,1.0,-0.04,not_over
25,6,4,1.0,1.0,win
25,7,0,1.0,-0.25,not_over
25,7,1,1.0,-0.25,not_over
25,7,2,1.0,-0.25,not_over
25,7,3,1.0,-0.25,not_over
25,7,4,1.0,-0.25,not_over
25,7,5,1.0,-0.25,not_over
25,7,6,1.0,-0.25,not_over
25,7,7,1.0,-0.25,not_over
25,7,8,1.0,-0.25,not_over
25,7,9,1.0,-0.25,not_over
25,7,10,1.0,-0.25,not_over
25,7,11,1.0,-0.25,not_over
25,7,12,1.0,-0.25,not_over
25,7,13,1.0,-0.25,not_over
25,7,14,1.0,-0.25,not_over
25,7,15,0.9986207485198975,-0.25,not_over
25,7,16,0.9935613870620728,-0.25,not_over
25,7,17,0.9897585511207581,-0.25,not_over
25,7,18,0.9862734079360962,-0.25,not_over
25,7,19,0.9832096695899963,-0.25,not_over
25,7,20,0.9804940819740295,-0.25,not_over
25,7,21,0.9780909419059753,-0.25,not_over
25,7,22,0.9759637117385864,-0.25,not_over
25,7,23,0.9740806818008423,-0.25,not_over
25,7,24,0.9724138379096985,-0.25,not_over
25,7,25,0.9709383845329285,-0.25,not_over
25,7,26,0.9696322679519653,-0.25,not_over
25,7,27,0.9684761166572571,-0.25,not_over
25,7,28,0.9674526453018188,-0.25,not_over
25,7,29,0.9665466547012329,-0.25,not_over
25,7,30,0.96574467420578,-0.25,not_over
25,7,31,0.9650347232818604,-0.25,not_over
25,7,32,0.9644063115119934,-0.25,not_over
25,7,33,0.9638499021530151,-0.25,not_over
25,7,34,0.9633575081825256,-0.25,not_over
25,7,35,0.9629215002059937,-0.25,not_over
25,7,36,0.9625355005264282,-0.25,not_over
25,7,37,0.9621938467025757,-0.25,not_over
25,7,38,0.9618914127349854,-0.25,not_over
25,7,39,0.9616236686706543,-0.25,not_over
25,7,40,0.9613866806030273,-0.25,not_over
25,7,41,0.9611768126487732,-0.25,not_over
25,7,42,0.9609911441802979,-0.25,not_over
25,7,43,0.9608266949653625,-0.25,not_over
25,7,44,0.960681140422821,-0.25,not_over
25,7,45,0.9605522155761719,-0.25,not_over
25,7,46,0.9604381918907166,-0.25,not_over
25,7,47,0.9603371620178223,-0.25,not_over
25,7,48,0.9602478742599487,-0.25,not_over
25,7,49,0.960168719291687,-0.25,not_over
25,7,50,0.9600986838340759,-0.25,lose
25,8,0,1.0,-0.04,not_over
25,8,1,1.0,-0.04,not_over
25,8,2,1.0,-0.04,not_over
25,8,3,1.0,-0.04,not_over
25,8,4,1.0,-0.04,not_over
25,8,5,1.0,-0.04,not_over
25,8,6,1.0,-0.04,not_over
25,8,7,1.0,1.0,win
25,9,0,1.0,-0.04,not_over
25,9,1,1.0,-0.04,not_over
25,9,2,1.0,-0.04,not_over
25,9,3,1.0,-0.04,not_over
25,9,4,1.0,-0.04,not_over
25,9,5,1.0,1.0,win
25,10,0,1.0,-0.04,not_over
25,10,1,1.0,-0.04,not_over
25,10,2,1.0,-0.04,not_over
25,10,3,1.0,-0.04,not_over
25,10,4,1.0,1.0,win
25,11,0,1.0,1.0,win
25,12,0,1.0,-0.04,not_over
25,12,1,1.0,-0.04,not_over
25,12,2,1.0,-0.04,not_over
25,12,3,1.0,1.0,win
25,13,0,1.0,-0.04,not_over
25,13,1,1.0,-0.04,not_over
25,13,2,1.0,-0.04,not_over
25,13,3,1.0,-0.04,not_over
25,13,4,1.0,1.0,win
25,14,0,1.0,-0.04,not_over
25,14,1,1.0,-0.04,not_over
25,14,2,1.0,-0.04,not_over
25,14,3,1.0,-0.04,not_over
25,14,4,1.0,-0.04,not_over
25,14,5,1.0,1.0,win
25,15,0,1.0,-0.04,not_over
25,15,1,1.0,-0.04,not_over
25,15,2,1.0,-0.04,not_over
25,15,3,1.0,-0.04,not_over
25,15,4,1.0,1.0,win
25,16,0,1.0,-0.04,not_over
25,16,1,1.0,-0.04,not_over
25,16,2,1.0,-0.04,not_over
25,16,3,1.0,-0.04,not_over
25,16,4,1.0,-0.04,not_over
25,16,5,1.0,-0.04,not_over
25,16,6,1.0,-0.04,not_over
25,16,7,1.0,1.0,win
25,17,0,1.0,-0.04,not_over
25,17,1,1.0,-0.04,not_over
25,17,2,1.0,-0.04,not_over
25,17,3,1.0,1.0,win
25,18,0,1.0,-0.25,not_over
25,18,1,1.0,-0.25,not_over
25,18,2,1.0,-0.25,not_over
25,18,3,1.0,-0.25,not_over
25,18,4,1.0,-0.25,not_over
25,18,5,1.0,-0.25,not_over
25,18,6,1.0,-0.25,not_over
25,18,7,1.0,-0.25,not_over
25,18,8,1.0,-0.25,not_over
25,18,9,1.0,-0.25,not_over
25,18,10,1.0,-0.25,not_over
25,18,11,1.0,-0.25,not_over
25,18,12,1.0,-0.25,not_over
25,18,13,1.0,-0.25,not_over
25,18,14,0.9995808601379395,-0.25,not_over
25,18,15,0.9942426085472107,-0.25,not_over
25,18,16,0.9903910756111145,-0.25,not_over
25,18,17,0.9868281483650208,-0.25,not_over
25,18,18,0.9837016463279724,-0.25,not_over
25,18,19,0.9809293150901794,-0.25,not_over
25,18,20,0.9784762263298035,-0.25,not_over
25,18,21,0.9763047695159912,-0.25,not_over
25,18,22,0.9743825197219849,-0.25,not_over
25,18,23,0.9726810455322266,-0.25,not_over
25,18,24,0.9711748957633972,-0.25,not_over
25,18,25,0.969841718673706,-0.25,not_over
25,18,26,0.9686614274978638,-0.25,not_over
25,18,27,0.9676166772842407,-0.25,not_over
25,18,28,0.9666919112205505,-0.25,not_over
25,18,29,0.9658732414245605,-0.25,not_over
25,18,30,0.9651485085487366,-0.25,not_over
25,18,31,0.964506983757019,-0.25,not_over
25,18,32,0.9639390707015991,-0.25,not_over
25,18,33,0.9634363651275635,-0.25,not_over
25,18,34,0.9629912376403809,-0.25,not_over
25,18,35,0.9625973701477051,-0.25,not_over
25,18,36,0.9622486233711243,-0.25,not_over
25,18,37,0.9619399309158325,-0.25,not_over
25,18,38,0.9616665840148926,-0.25,not_over
25,18,39,0.961424708366394,-0.25,not_over
25,18,40,0.9612104892730713,-0.25,not_over
25,18,41,0.9610209465026855,-0.25,not_over
25,18,42,0.9608530402183533,-0.25,not_over
25,18,43,0.9607044458389282,-0.25,not_over
25,18,44,0.9605728983879089,-0.25,not_over
25,18,45,0.9604564905166626,-0.25,not_over
25,18,46,0.960353434085846,-0.25,not_over
25,18,47,0.9602621793746948,-0.25,not_over
25,18,48,0.9601814150810242,-0.25,not_over
25,18,49,0.9601098299026489,-0.25,not_over
25,18,50,0.9600465893745422,-0.25,lose
25,19,0,1.0,-0.04,not_over
25,19,1,1.0,-0.04,not_over
25,19,2,1.0,-0.04,not_over
25,19,3,1.0,-0.04,not_over
25,19,4,1.0,-0.04,not_over
25,19,5,1.0,1.0,win
25,20,0,1.0,-0.25,not_over
25,20,1,1.0,-0.25,not_over
25,20,2,1.0,-0.25,not_over
25,20,3,1.0,-0.25,not_over
25,20,4,1.0,-0.25,not_over
25,20,5,1.0,-0.25,not_over
25,20,6,1.0,-0.25,not_over
25,20,7,1.0,-0.25,not_over
25,20,8,1.0,-0.25,not_over
25,20,9,1.0,-0.25,not_over
25,20,10,1.0,-0.25,not_over
25,20,11,1.0,-0.25,not_over
25,20,12,1.0,-0.25,not_over
25,20,13,0.9955907464027405,-0.25,not_over
25,20,14,0.9914122819900513,-0.25,not_over
25,20,15,0.987762451171875,-0.25,not_over
25,20,16,0.9845232367515564,-0.25,not_over
25,20,17,0.9816576242446899,-0.25,not_over
25,20,18,0.9791207313537598,-0.25,not_over
25,20,19,0.9768752455711365,-0.25,not_over
25,20,20,0.9748876094818115,-0.25,not_over
25,20,21,0.9731281995773315,-0.25,not_over
25,20,22,0.9715706706047058,-0.25,not_over
25,20,23,0.9701919555664062,-0.25,not_over
25,20,24,0.9689716100692749,-0.25,not_over
25,20,25,0.9678911566734314,-0.25,not_over
25,20,26,0.966934859752655,-0.25,not_over
25,20,27,0.9660882353782654,-0.25,not_over
25,20,28,0.9653388857841492,-0.25,not_over
25,20,29,0.9646754860877991,-0.25,not_over
25,20,30,0.9640883207321167,-0.25,not_over
25,20,31,0.963568389415741,-0.25,not_over
25,20,32,0.9631081819534302,-0.25,not_over
25,20,33,0.9627007842063904,-0.25,not_over
25,20,34,0.9623401165008545,-0.25,not_over
25,20,35,0.9620209336280823,-0.25,not_over
25,20,36,0.9617383480072021,-0.25,not_over
25,20,37,0.9614881277084351,-0.25,not_over
25,20,38,0.9612667560577393,-0.25,not_over
25,20,39,0.9610706567764282,-0.25,not_over
25,20,40,0.9608971476554871,-0.25,not_over
25,20,41,0.9607434868812561,-0.25,not_over
25,20,42,0.9606075286865234,-0.25,not_over
25,20,43,0.9604871273040771,-0.25,not_over
25,20,44,0.9603805541992188,-0.25,not_over
25,20,45,0.9602861404418945,-0.25,not_over
25,20,46,0.9602026343345642,-0.25,not_over
25,20,47,0.9601287245750427,-0.25,not_over
25,20,48,0.9600632190704346,-0.25,not_over
25,20,49,0.9600052237510681,-0.25,not_over
25,20,50,0.959954023361206,-0.25,lose
25,21,0,1.0,-0.04,not_over
25,21,1,1.0,-0.04,not_over
25,21,2,1.0,-0.04,not_over
25,21,3,1.0,1.0,win
25,22,0,1.0,1.0,win
25,23,0,1.0,-0.04,not_over
25,23,1,1.0,-0.04,not_over
25,23,2,1.0,-0.04,not_over
25,23,3,1.0,-0.04,not_over
25,23,4,1.0,-0.04,not_over
25,23,5,1.0,1.0,win
25,24,0,1.0,-0.04,not_over
25,24,1,1.0,-0.04,not_over
25,24,2,1.0,1.0,win
25,25,0,1.0,-0.25,not_over
25,25,1,1.0,-0.25,not_over
25,25,2,1.0,-0.25,not_over
25,25,3,1.0,-0.25,not_over
25,25,4,1.0,-0.25,not_over
25,25,5,1.0,-0.25,not_over
25,25,6,1.0,-0.25,not_over
25,25,7,1.0,-0.25,not_over
25,25,8,1.0,-0.25,not_over
25,25,9,1.0,-0.25,not_over
25,25,10,1.0,-0.25,not_over
25,25,11,1.0,-0.25,not_over
25,25,12,1.0,-0.25,not_over
25,25,13,1.0,-0.25,not_over
25,25,14,1.0,-0.25,not_over
25,25,15,0.9965546727180481,-0.25,not_over
25,25,16,0.9920958876609802,-0.25,not_over
25,25,17,0.9883973598480225,-0.25,not_over
25,25,18,0.9850798845291138,-0.25,not_over
25,25,19,0.9821512699127197,-0.25,not_over
25,25,20,0.9795575141906738,-0.25,not_over
25,25,21,0.9772619009017944,-0.25,not_over
25,25,22,0.9752298593521118,-0.25,not_over
25,25,23,0.9734311103820801,-0.25,not_over
25,25,24,0.9718388319015503,-0.25,not_over
25,25,25,0.9704294204711914,-0.25,not_over
25,25,26,0.9691817760467529,-0.25,not_over
25,25,27,0.9680772423744202,-0.25,not_over
25,25,28,0.9670996069908142,-0.25,not_over
25,25,29,0.9662341475486755,-0.25,not_over
25,25,30,0.9654680490493774,-0.25,not_over
25,25,31,0.9647898077964783,-0.25,not_over
25,25,32,0.9641894102096558,-0.25,not_over
25,25,33,0.9636580348014832,-0.25,not_over
25,25,34,0.9631875157356262,-0.25,not_over
25,25,35,0.9627710580825806,-0.25,not_over
25,25,36,0.96240234375,-0.25,not_over
25,25,37,0.9620760679244995,-0.25,not_over
25,25,38,0.9617871046066284,-0.25,not_over
25,25,39,0.9615313410758972,-0.25,not_over
25,25,40,0.9613049030303955,-0.25,not_over
25,25,41,0.9611045122146606,-0.25,not_over
25,25,42,0.9609270095825195,-0.25,not_over
25,25,43,0.9607699513435364,-0.25,not_over
25,25,44,0.9606309533119202,-0.25,not_over
25,25,45,0.9605078101158142,-0.25,not_over
25,25,46,0.96039879322052,-0.25,not_over
25,25,47,0.960302472114563,-0.25,not_over
25,25,48,0.9602169990539551,-0.25,not_over
25,25,49,0.9601414799690247,-0.25,not_over
25,25,50,0.9600745439529419,-0.25,lose
25,26,0,1.0,-0.04,not_over
25,26,1,1.0,-0.04,not_over
25,26,2,1.0,-0.04,not_over
25,26,3,1.0,-0.04,not_over
25,26,4,1.0,1.0,win
25,27,0,1.0,-0.25,not_over
25,27,1,1.0,-0.25,not_over
25,27,2,1.0,-0.25,not_over
25,27,3,1.0,-0.25,not_over
25,27,4,1.0,-0.25,not_over
25,27,5,1.0,-0.25,not_over
25,27,6,1.0,-0.25,not_over
25,27,7,1.0,-0.25,not_over
25,27,8,1.0,-0.25,not_over
25,27,9,1.0,-0.25,not_over
25,27,10,1.0,-0.25,not_over
25,27,11,1.0,-0.25,not_over
25,27,12,1.0,-0.25,not_over
25,27,13,0.9964022636413574,-0.25,not_over
25,27,14,0.9919878244400024,-0.25,not_over
25,27,15,0.9882971048355103,-0.25,not_over
25,27,16,0.9849919080734253,-0.25,not_over
25,27,17,0.982073187828064,-0.25,not_over
25,27,18,0.9794884920120239,-0.25,not_over
25,27,19,0.9772007465362549,-0.25,not_over
25,27,20,0.9751757383346558,-0.25,not_over
25,27,21,0.9733831882476807,-0.25,not_over
25,27,22,0.971796452999115,-0.25,not_over
25,27,23,0.9703918695449829,-0.25,not_over
25,27,24,0.9691484570503235,-0.25,not_over
25,27,25,0.9680478572845459,-0.25,not_over
25,27,26,0.9670735001564026,-0.25,not_over
25,27,27,0.9662109613418579,-0.25,not_over
25,27,28,0.9654475450515747,-0.25,not_over
25,27,29,0.9647716879844666,-0.25,not_over
25,27,30,0.9641733765602112,-0.25,not_over
25,27,31,0.9636438488960266,-0.25,not_over
25,27,32,0.9631749987602234,-0.25,not_over
25,27,33,0.9627599120140076,-0.25,not_over
25,27,34,0.9623925089836121,-0.25,not_over
25,27,35,0.9620672464370728,-0.25,not_over
25,27,36,0.9617793560028076,-0.25,not_over
25,27,37,0.961524486541748,-0.25,not_over
25,27,38,0.9612988829612732,-0.25,not_over
25,27,39,0.9610991477966309,-0.25,not_over
