epoch,episode,step,dopamine,reward,status
110,0,0,1.0,-0.04,not_over
110,0,1,1.0,-0.04,not_over
110,0,2,1.0,-0.04,not_over
110,0,3,1.0,-0.04,not_over
110,0,4,1.0,1.0,win
110,1,0,1.0,-0.04,not_over
110,1,1,1.0,-0.04,not_over
110,1,2,1.0,1.0,win
110,2,0,1.0,-0.04,not_over
110,2,1,1.0,-0.04,not_over
110,2,2,1.0,-0.04,not_over
110,2,3,1.0,1.0,win
110,3,0,1.0,-0.04,not_over
110,3,1,1.0,-0.04,not_over
110,3,2,1.0,-0.04,not_over
110,3,3,1.0,1.0,win
110,4,0,1.0,-0.04,not_over
110,4,1,1.0,-0.04,not_over
110,4,2,1.0,-0.04,not_over
110,4,3,1.0,-0.04,not_over
110,4,4,1.0,-0.04,not_over
110,4,5,1.0,-0.04,not_over
110,4,6,1.0,-0.04,not_over
110,4,7,1.0,-0.04,not_over
110,4,8,1.0,1.0,win
110,5,0,1.0,-0.04,not_over
110,5,1,1.0,-0.04,not_over
110,5,2,1.0,-0.04,not_over
110,5,3,1.0,-0.04,not_over
110,5,4,1.0,-0.04,not_over
110,5,5,1.0,-0.04,not_over
110,5,6,1.0,1.0,win
110,6,0,1.0,-0.04,not_over
110,6,1,1.0,-0.04,not_over
110,6,2,1.0,1.0,win
110,7,0,1.0,-0.04,not_over
110,7,1,1.0,1.0,win
110,8,0,1.0,-0.04,not_over
110,8,1,1.0,1.0,win
110,9,0,1.0,-0.04,not_over
110,9,1,1.0,-0.04,not_over
110,9,2,1.0,-0.04,not_over
110,9,3,1.0,-0.04,not_over
110,9,4,1.0,-0.04,not_over
110,9,5,1.0,-0.04,not_over
110,9,6,1.0,-0.04,not_over
110,9,7,1.0,-0.04,not_over
110,9,8,1.0,1.0,win
110,10,0,1.0,-0.04,not_over
110,10,1,1.0,-0.04,not_over
110,10,2,1.0,-0.04,not_over
110,10,3,1.0,-0.04,not_over
110,10,4,1.0,-0.04,not_over
110,10,5,1.0,1.0,win
110,11,0,1.0,-0.04,not_over
110,11,1,1.0,-0.04,not_over
110,11,2,1.0,-0.04,not_over
110,11,3,1.0,-0.04,not_over
110,11,4,1.0,1.0,win
110,12,0,1.0,-0.04,not_over
110,12,1,1.0,-0.04,not_over
110,12,2,1.0,-0.04,not_over
110,12,3,1.0,-0.04,not_over
110,12,4,1.0,-0.04,not_over
110,12,5,1.0,-0.04,not_over
110,12,6,1.0,-0.04,not_over
110,12,7,1.0,1.0,win
110,13,0,1.0,1.0,win
110,14,0,1.0,-0.04,not_over
110,14,1,1.0,-0.04,not_over
110,14,2,1.0,-0.04,not_over
110,14,3,1.0,-0.04,not_over
110,14,4,1.0,-0.04,not_over
110,14,5,1.0,-0.04,not_over
110,14,6,1.0,-0.04,not_over
