epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.03714510441757739,100,0,8,0.08,8,92,-1161.92,0.001,2.310610294342041
1,0.045522599406540395,100,0,2,0.02,13,87,-1244.8599999999997,0.001,4.676438093185425
2,0.04570402473211289,100,0,3,0.03,5,95,-1240.5599999999993,0.001,7.0555503368377686
3,0.04696296192705631,100,0,6,0.06,3,97,-1191.9499999999998,0.001,9.072853088378906
4,0.046246901527047156,100,0,2,0.02,4,96,-1244.3299999999992,0.001,11.167449235916138
5,0.04518612775951624,100,0,2,0.02,4,96,-1240.3399999999992,0.001,13.453739166259766
6,0.046462465897202494,100,0,4,0.04,7,93,-1219.4399999999996,0.001,15.71593713760376
7,0.0457625774666667,100,0,4,0.04,7,93,-1211.7999999999995,0.001,17.917684078216553
8,0.04925704855471849,100,0,6,0.06,7,93,-1187.0799999999995,0.001,20.22027325630188
9,0.04963701480999589,100,0,7,0.07,2,98,-1168.6599999999994,0.001,22.389515161514282
10,0.04645223589614034,100,0,5,0.05,11,89,-1200.2099999999994,0.001,24.397758960723877
11,0.05219587527215481,100,0,16,0.16,4,96,-1055.8,0.001,26.203481197357178
12,0.04951502479612827,100,0,16,0.16,2,98,-1045.3499999999997,0.001,28.41024112701416
13,0.04499993422999978,100,0,14,0.14,4,96,-1073.85,0.001,30.267293214797974
14,0.0500639158859849,100,0,16,0.16,2,98,-1072.22,0.001,32.11274600028992
15,0.046086247749626635,100,0,15,0.15,8,92,-1060.78,0.001,34.22767901420593
16,0.044102646335959436,100,0,7,0.07,9,91,-1170.0199999999998,0.001,36.3805890083313
17,0.04996365539729595,100,0,10,0.1,6,94,-1129.1799999999996,0.001,38.33913803100586
18,0.04237369004637003,100,0,11,0.11,13,87,-1115.9499999999996,0.001,40.296879291534424
19,0.04829102493822575,100,0,15,0.15,11,89,-1069.0399999999995,0.001,42.51288414001465
20,0.04938884031027555,100,0,21,0.21,4,96,-979.7400000000001,0.001,44.301494121551514
21,0.0467821591347456,100,0,13,0.13,12,88,-1089.1499999999992,0.001,46.17825722694397
22,0.0493115009739995,100,0,22,0.22,11,89,-985.0000000000001,0.001,48.126734256744385
23,0.04671602109447122,100,0,14,0.14,6,94,-1088.6899999999996,0.001,50.30648612976074
24,0.04924483103677631,100,0,17,0.17,4,96,-1033.1099999999997,0.001,52.29238724708557
25,0.04447914879769087,100,0,15,0.15,5,95,-1063.4299999999996,0.001,54.1820433139801
26,0.04814447533339262,100,0,17,0.17,6,94,-1040.2399999999998,0.001,56.35410523414612
27,0.054600198809057476,100,0,23,0.23,8,92,-956.0600000000002,0.001,58.106842279434204
28,0.04331286823377013,100,0,17,0.17,13,87,-1033.1799999999996,0.001,59.885091066360474
29,0.054114669114351276,100,0,22,0.22,12,88,-972.6999999999996,0.001,61.74305200576782
30,0.042511580139398576,100,0,12,0.12,10,90,-1110.6599999999999,0.001,63.874096155166626
31,0.050801471546292304,100,0,21,0.21,13,87,-986.2399999999999,0.001,65.64992904663086
32,0.054208052903413774,100,0,30,0.3,11,89,-880.1800000000001,0.001,67.4250020980835
33,0.05094941109418869,100,0,23,0.23,5,95,-954.3099999999998,0.001,69.34388017654419
34,0.04446811785921454,100,0,16,0.16,7,93,-1056.77,0.001,71.38811421394348
35,0.045944672720506785,100,0,15,0.15,11,89,-1075.8699999999997,0.001,73.25431609153748
36,0.0515291465818882,100,0,14,0.14,3,97,-1083.2099999999996,0.001,75.09880924224854
37,0.045878333002328874,100,0,13,0.13,6,94,-1087.9099999999999,0.001,77.30966305732727
38,0.047679728362709284,100,0,19,0.19,7,93,-1008.7199999999999,0.001,79.1018340587616
39,0.04927489906549454,100,0,15,0.15,7,93,-1061.7999999999997,0.001,80.9740469455719
40,0.04459666397422552,100,0,24,0.24,2,98,-948.5400000000001,0.001,82.75971722602844
41,0.04508062856271863,100,0,22,0.22,11,89,-976.1000000000003,0.001,84.88493227958679
42,0.047428266080096364,100,0,23,0.23,4,96,-957.43,0.001,86.6204023361206
43,0.04452270690351725,100,0,27,0.27,4,96,-903.81,0.001,88.30878520011902
44,0.04364937860518694,100,0,9,0.09,5,95,-1145.0499999999997,0.001,90.23024916648865
45,0.04031946474686265,100,0,22,0.22,6,94,-965.6499999999999,0.001,92.29255509376526
46,0.0433877329248935,100,0,21,0.21,7,93,-979.2300000000001,0.001,94.07481026649475
47,0.04080126258544624,100,0,22,0.22,11,89,-964.3299999999997,0.001,95.85390996932983
48,0.048189470916986464,100,0,22,0.22,12,88,-975.6899999999998,0.001,97.88435626029968
49,0.03929806265980005,100,0,24,0.24,12,88,-949.1500000000002,0.001,99.80273008346558
50,0.04124023680575192,100,0,14,0.14,12,88,-1074.7499999999995,0.001,101.71536827087402
51,0.050123460236936805,100,0,6,0.06,13,87,-1188.1399999999994,0.001,103.67334914207458
52,0.03781553394161165,100,0,23,0.23,6,94,-952.0699999999998,0.001,105.65411710739136
53,0.040344727169722316,100,0,26,0.26,6,94,-922.7299999999998,0.001,107.48250818252563
54,0.036444912259466944,100,0,37,0.37,5,95,-762.8900000000004,0.001,109.06170320510864
55,0.039009442939423024,100,0,35,0.35,6,94,-790.9199999999998,0.001,110.68294405937195
56,0.03731312024407089,100,0,28,0.28,2,98,-884.16,0.001,112.7482659816742
57,0.04314296219497919,100,0,17,0.17,5,95,-1033.42,0.001,114.77654504776001
58,0.03959440538659692,100,0,42,0.42,7,93,-705.5100000000002,0.001,116.27762627601624
59,0.04100190875120461,100,0,20,0.2,9,91,-992.9799999999997,0.001,118.059011220932
60,0.03948289409279823,100,0,28,0.28,8,92,-886.1900000000003,0.001,120.06864523887634
61,0.03571893347427249,100,0,38,0.38,8,92,-748.6700000000001,0.001,121.66423916816711
62,0.04190253303386271,100,0,33,0.33,4,96,-827.8699999999997,0.001,123.31154417991638
63,0.03621335827279836,100,0,28,0.28,7,93,-895.0300000000002,0.001,124.95057106018066
64,0.03368689425173216,100,0,34,0.34,7,93,-801.44,0.001,127.04446411132812
65,0.038216823283582925,100,0,30,0.3,9,91,-857.8499999999999,0.001,128.75835537910461
66,0.036891766145126896,100,0,47,0.47,5,95,-634.1800000000003,0.001,130.18119716644287
67,0.03764050631667487,100,0,44,0.44,5,95,-669.0500000000001,0.001,131.57856822013855
68,0.03363362293690443,100,0,35,0.35,3,97,-789.4099999999999,0.001,133.147301197052
69,0.03855314510059543,100,0,41,0.41,5,95,-707.17,0.001,135.28835725784302
70,0.04027299858891638,100,0,37,0.37,6,94,-770.8600000000005,0.001,137.14105916023254
71,0.03583708257152466,100,0,39,0.39,9,91,-752.0600000000001,0.001,138.82030415534973
72,0.037435952304949754,100,0,40,0.4,12,88,-736.2100000000004,0.001,140.39762210845947
73,0.033659805078059435,100,0,34,0.34,13,87,-802.6500000000001,0.001,142.47564220428467
74,0.03907948322630546,100,0,45,0.45,9,91,-654.2699999999999,0.001,143.9346570968628
75,0.030264747914625332,100,0,41,0.41,7,93,-723.2100000000002,0.001,145.47991609573364
76,0.03216411551577039,100,0,46,0.46,4,96,-640.5500000000003,0.001,146.89819812774658
77,0.026686812202678992,100,0,48,0.48,2,98,-614.4099999999999,0.001,148.56764912605286
78,0.031352772155078125,100,0,42,0.42,12,88,-695.7400000000001,0.001,150.14033007621765
79,0.035004414730938155,100,0,35,0.35,10,90,-790.8799999999999,0.001,151.73382711410522
80,0.03053127624094486,100,0,47,0.47,6,94,-625.6100000000001,0.001,153.134859085083
81,0.0270681189262541,100,0,53,0.53,2,98,-545.85,0.001,154.6203031539917
82,0.02744858456484508,100,0,46,0.46,13,87,-651.1699999999998,0.001,156.68816614151
83,0.03467894090805203,100,0,39,0.39,9,91,-740.8800000000001,0.001,158.31235218048096
84,0.0249439252022421,100,0,63,0.63,4,96,-418.8700000000002,0.001,159.54235816001892
85,0.0311374466214329,100,0,36,0.36,13,87,-783.9599999999999,0.001,161.1490240097046
86,0.028264618124812842,100,0,55,0.55,13,87,-525.1100000000001,0.001,162.8554961681366
87,0.034436626818496734,100,0,37,0.37,4,96,-767.1500000000004,0.001,164.50478315353394
88,0.01970575889921747,100,0,66,0.66,4,96,-383.1600000000001,0.001,165.73080706596375
89,0.025101912117097527,100,0,52,0.52,5,95,-560.0700000000002,0.001,167.08324933052063
90,0.02857260580000002,100,0,50,0.5,3,97,-592.7600000000001,0.001,168.4568042755127
91,0.022177581273135728,100,0,57,0.57,4,96,-504.64000000000027,0.001,170.0467882156372
92,0.02677698085550219,100,0,49,0.49,9,91,-600.8399999999998,0.001,171.67523312568665
93,0.027699652971932665,100,0,54,0.54,7,93,-540.9700000000004,0.001,173.0735502243042
94,0.02299056838150136,100,0,63,0.63,13,87,-413.60000000000014,0.001,174.33695006370544
95,0.013405589866742958,100,0,75,0.75,7,93,-265.09999999999997,0.001,175.46534299850464
96,0.02542937407735735,100,0,63,0.63,8,92,-424.0900000000002,0.001,176.9554271697998
97,0.01845168192026904,100,0,64,0.64,4,96,-401.18,0.001,178.37459301948547
98,0.02557848583179293,100,0,54,0.54,6,94,-533.5800000000004,0.001,179.72882413864136
99,0.012957773140369682,100,0,87,0.87,5,95,-93.92999999999999,0.001,180.67694425582886
100,0.012380439068074338,100,0,79,0.79,13,87,-198.92000000000002,0.001,181.72037816047668
101,0.022024939025686762,100,0,64,0.64,2,98,-398.8400000000002,0.001,182.98532724380493
102,0.018371065868595906,100,0,70,0.7,7,93,-323.15999999999997,0.001,184.48208928108215
103,0.01961963028239552,100,0,67,0.67,13,87,-367.32000000000005,0.001,185.69185614585876
104,0.012468155073875095,100,0,81,0.81,6,94,-186.32000000000005,0.001,186.81618404388428
105,0.02418966530356556,100,0,67,0.67,7,93,-360.50000000000006,0.001,188.006991147995
106,0.010274145261792,100,0,84,0.84,10,90,-132.53,0.001,188.98029327392578
107,0.011783466358465375,100,0,79,0.79,5,95,-208.26000000000008,0.001,190.0000832080841
108,0.015163382727187126,100,0,74,0.74,13,87,-266.1599999999999,0.001,191.32880520820618
109,0.005583188434611657,100,0,91,0.91,5,95,-59.92999999999994,0.001,192.4015622138977
110,0.003728876510213013,100,0,93,0.93,10,90,-14.62999999999999,0.001,193.28891229629517
111,0.006122280344861793,100,0,91,0.91,6,94,-50.24999999999994,0.001,194.22444534301758
112,0.016189482439513084,100,0,70,0.7,5,95,-330.6299999999999,0.001,195.44827318191528
113,0.004093709422304528,100,0,95,0.95,6,94,9.93000000000001,0.001,196.29334712028503
114,0.006145266492385417,100,0,90,0.9,9,91,-62.28999999999997,0.001,197.24647116661072
115,0.006986989685465232,100,0,89,0.89,5,95,-66.93999999999998,0.001,198.42669796943665
116,0.00412891301610216,100,0,94,0.94,7,93,-8.279999999999987,0.001,199.4416892528534
117,0.02066158213900053,100,0,66,0.66,6,94,-382.65999999999997,0.001,200.69626712799072
118,0.015969783624314005,100,0,72,0.72,9,91,-293.44000000000005,0.001,201.99415516853333
119,0.0038597174828282734,100,0,93,0.93,12,88,-32.49999999999997,0.001,202.91625428199768
120,0.003060788441380282,100,0,95,0.95,7,93,0.08000000000002516,0.001,203.80794596672058
121,0.007965839470562059,100,0,87,0.87,5,95,-97.94999999999995,0.001,205.03452014923096
122,0.013393827676845832,100,0,82,0.82,11,89,-163.64999999999992,0.001,206.2012071609497
123,0.008244625791412545,100,0,88,0.88,7,93,-78.40999999999998,0.001,207.13164639472961
124,0.0029630208693561142,100,0,94,0.94,10,90,-5.5299999999999745,0.001,208.02295517921448
125,0.005185153255006299,100,0,90,0.9,11,89,-62.54999999999996,0.001,208.97655820846558
126,0.005192074670376314,100,0,90,0.9,5,95,-63.56999999999996,0.001,209.88794612884521
127,0.0032288720738870326,100,0,93,0.93,2,98,-14.579999999999993,0.001,210.7583522796631
128,0.002138809833786581,100,0,95,0.95,4,96,12.480000000000015,0.001,211.68164610862732
129,0.0038136167155607835,100,0,93,0.93,12,88,-15.679999999999968,0.001,212.86867833137512
130,0.0012740640414767768,100,0,99,0.99,7,93,59.74000000000004,0.001,213.75627899169922
131,0.006869498907483376,100,0,88,0.88,13,87,-82.79999999999995,0.001,214.73021912574768
132,0.014338545192149468,100,0,76,0.76,11,89,-248.87000000000006,0.001,215.91625118255615
133,0.00689892318983766,100,0,90,0.9,7,93,-60.61999999999997,0.001,216.91567516326904
134,0.004181223368796054,100,0,92,0.92,7,93,-29.219999999999963,0.001,217.82237005233765
135,0.002810210510142497,100,0,95,0.95,13,87,11.020000000000005,0.001,218.76100301742554
136,0.00014337910134372577,100,0,100,1.0,7,93,78.48000000000006,0.001,219.78734803199768
