epoch,episode,step,dopamine,reward,status
138,0,0,1.0,-0.04,not_over
138,0,1,1.0,-0.04,not_over
138,0,2,1.0,-0.04,not_over
138,0,3,1.0,1.0,win
138,1,0,1.0,-0.04,not_over
138,1,1,1.0,1.0,win
138,2,0,1.0,-0.04,not_over
138,2,1,1.0,-0.04,not_over
138,2,2,1.0,-0.04,not_over
138,2,3,1.0,1.0,win
138,3,0,1.0,-0.04,not_over
138,3,1,1.0,-0.04,not_over
138,3,2,1.0,-0.04,not_over
138,3,3,1.0,-0.04,not_over
138,3,4,1.0,-0.04,not_over
138,3,5,1.0,-0.04,not_over
138,3,6,1.0,-0.04,not_over
138,3,7,1.0,-0.04,not_over
138,3,8,1.0,-0.04,not_over
138,3,9,1.0,1.0,win
138,4,0,1.0,-0.04,not_over
138,4,1,1.0,-0.04,not_over
138,4,2,1.0,-0.04,not_over
138,4,3,1.0,-0.04,not_over
138,4,4,1.0,-0.04,not_over
138,4,5,1.0,-0.04,not_over
138,4,6,1.0,-0.04,not_over
138,4,7,1.0,-0.04,not_over
138,4,8,1.0,-0.04,not_over
138,4,9,1.0,1.0,win
138,5,0,1.0,-0.25,not_over
138,5,1,1.0,-0.25,not_over
138,5,2,1.0,-0.25,not_over
138,5,3,1.0,-0.25,not_over
138,5,4,1.0,-0.25,not_over
138,5,5,1.0,-0.25,not_over
138,5,6,1.0,-0.25,not_over
138,5,7,1.0,-0.25,not_over
138,5,8,1.0,-0.25,not_over
138,5,9,1.0,-0.25,not_over
138,5,10,1.0,-0.25,not_over
138,5,11,1.0,-0.25,not_over
138,5,12,1.0,-0.25,not_over
138,5,13,0.9992079138755798,-0.25,not_over
138,5,14,0.9939780235290527,-0.25,not_over
138,5,15,0.9901453852653503,-0.25,not_over
138,5,16,0.9866126179695129,-0.25,not_over
138,5,17,0.9835104942321777,-0.25,not_over
138,5,18,0.9807602167129517,-0.25,not_over
138,5,19,0.9783266186714172,-0.25,not_over
138,5,20,0.9761722683906555,-0.25,not_over
138,5,21,0.9742653369903564,-0.25,not_over
138,5,22,0.9725772142410278,-0.25,not_over
138,5,23,0.9710829854011536,-0.25,not_over
138,5,24,0.9697602987289429,-0.25,not_over
138,5,25,0.9685893654823303,-0.25,not_over
138,5,26,0.967552900314331,-0.25,not_over
138,5,27,0.9666354060173035,-0.25,not_over
138,5,28,0.965823233127594,-0.25,not_over
138,5,29,0.9651042222976685,-0.25,not_over
138,5,30,0.9644677639007568,-0.25,not_over
138,5,31,0.9639043807983398,-0.25,not_over
138,5,32,0.9634056091308594,-0.25,not_over
138,5,33,0.9629641175270081,-0.25,not_over
138,5,34,0.962573230266571,-0.25,not_over
138,5,35,0.9622272253036499,-0.25,not_over
138,5,36,0.961920976638794,-0.25,not_over
138,5,37,0.9616497755050659,-0.25,not_over
138,5,38,0.961409866809845,-0.25,not_over
138,5,39,0.9611974358558655,-0.25,not_over
138,5,40,0.9610093235969543,-0.25,not_over
138,5,41,0.9608428478240967,-0.25,not_over
138,5,42,0.9606954455375671,-0.25,not_over
138,5,43,0.9605649709701538,-0.25,not_over
138,5,44,0.9604493975639343,-0.25,not_over
138,5,45,0.9603471755981445,-0.25,not_over
138,5,46,0.9602566957473755,-0.25,not_over
138,5,47,0.9601765871047974,-0.25,not_over
138,5,48,0.9601055979728699,-0.25,not_over
138,5,49,0.9600428342819214,-0.25,not_over
138,5,50,0.959987223148346,-0.25,lose
138,6,0,1.0,-0.04,not_over
138,6,1,1.0,-0.04,not_over
138,6,2,1.0,-0.04,not_over
138,6,3,1.0,-0.04,not_over
138,6,4,1.0,-0.04,not_over
138,6,5,1.0,-0.04,not_over
138,6,6,1.0,-0.04,not_over
138,6,7,1.0,-0.04,not_over
138,6,8,1.0,1.0,win
138,7,0,1.0,1.0,win
138,8,0,1.0,-0.04,not_over
138,8,1,1.0,-0.04,not_over
138,8,2,1.0,1.0,win
138,9,0,1.0,-0.04,not_over
138,9,1,1.0,1.0,win
138,10,0,1.0,-0.04,not_over
138,10,1,1.0,-0.04,not_over
138,10,2,1.0,-0.04,not_over
138,10,3,1.0,-0.04,not_over
138,10,4,1.0,-0.04,not_over
138,10,5,1.0,1.0,win
138,11,0,1.0,1.0,win
138,12,0,1.0,-0.04,not_over
138,12,1,1.0,-0.04,not_over
138,12,2,1.0,1.0,win
138,13,0,1.0,1.0,win
138,14,0,1.0,-0.04,not_over
138,14,1,1.0,1.0,win
138,15,0,1.0,-0.04,not_over
138,15,1,1.0,1.0,win
138,16,0,1.0,-0.04,not_over
138,16,1,1.0,-0.04,not_over
138,16,2,1.0,-0.04,not_over
138,16,3,1.0,-0.04,not_over
138,16,4,1.0,-0.04,not_over
138,16,5,1.0,-0.04,not_over
138,16,6,1.0,-0.04,not_over
138,16,7,1.0,-0.04,not_over
138,16,8,1.0,-0.04,not_over
138,16,9,1.0,1.0,win
138,17,0,1.0,-0.04,not_over
138,17,1,1.0,-0.04,not_over
138,17,2,1.0,-0.04,not_over
138,17,3,1.0,1.0,win
138,18,0,1.0,-0.04,not_over
138,18,1,1.0,-0.04,not_over
138,18,2,1.0,-0.04,not_over
138,18,3,1.0,1.0,win
138,19,0,1.0,-0.04,not_over
138,19,1,1.0,1.0,win
138,20,0,1.0,-0.04,not_over
138,20,1,1.0,-0.04,not_over
138,20,2,1.0,-0.04,not_over
138,20,3,1.0,-0.04,not_over
138,20,4,1.0,-0.04,not_over
138,20,5,1.0,1.0,win
138,21,0,1.0,-0.04,not_over
138,21,1,1.0,1.0,win
138,22,0,1.0,-0.04,not_over
138,22,1,1.0,-0.04,not_over
138,22,2,1.0,-0.04,not_over
138,22,3,1.0,-0.04,not_over
138,22,4,1.0,1.0,win
138,23,0,1.0,-0.04,not_over
138,23,1,1.0,-0.04,not_over
138,23,2,1.0,-0.04,not_over
138,23,3,1.0,-0.04,not_over
138,23,4,1.0,1.0,win
138,24,0,1.0,1.0,win
138,25,0,1.0,-0.04,not_over
138,25,1,1.0,-0.04,not_over
138,25,2,1.0,-0.04,not_over
138,25,3,1.0,-0.04,not_over
138,25,4,1.0,1.0,win
138,26,0,1.0,-0.04,not_over
138,26,1,1.0,-0.04,not_over
138,26,2,1.0,1.0,win
138,27,0,1.0,-0.04,not_over
138,27,1,1.0,-0.04,not_over
138,27,2,1.0,-0.04,not_over
138,27,3,1.0,1.0,win
138,28,0,1.0,-0.04,not_over
138,28,1,1.0,-0.04,not_over
138,28,2,1.0,-0.04,not_over
138,28,3,1.0,1.0,win
138,29,0,1.0,-0.04,not_over
138,29,1,1.0,-0.04,not_over
138,29,2,1.0,-0.04,not_over
138,29,3,1.0,-0.04,not_over
138,29,4,1.0,-0.04,not_over
138,29,5,1.0,1.0,win
138,30,0,1.0,-0.04,not_over
138,30,1,1.0,1.0,win
