epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.03858153466135263,100,4243,23,0.23,3,97,-999.2500000000003,0.001,2.425530195236206
1,0.0531345631275326,100,3532,42,0.42,9,91,-791.8700000000002,0.001,4.008967876434326
2,0.04919686138629913,100,3454,39,0.39,9,91,-778.2200000000005,0.001,6.319164991378784
3,0.04644830625504255,100,3962,33,0.33,6,94,-912.3000000000004,0.001,8.345263957977295
4,0.03992411136627197,100,3908,32,0.32,6,94,-903.2000000000003,0.001,9.833148002624512
5,0.03666102029383182,100,4039,29,0.29,7,93,-932.9800000000004,0.001,11.359318017959595
6,0.042767371954396366,100,3175,53,0.53,11,89,-695.3800000000002,0.001,12.689114093780518
7,0.041206571236252786,100,3040,49,0.49,10,90,-668.9400000000004,0.001,13.993371963500977
8,0.04461974956095219,100,2831,54,0.54,5,95,-603.0900000000004,0.001,15.269540071487427
9,0.030626344373449684,100,2675,57,0.57,10,90,-560.1300000000002,0.001,16.551632165908813
10,0.028149909384083002,100,2464,61,0.61,3,97,-505.7400000000001,0.001,17.79013705253601
11,0.02829564044252038,100,2493,63,0.63,9,91,-505.6600000000002,0.001,19.020267963409424
12,0.02525900036562234,100,2509,61,0.61,7,93,-520.5600000000003,0.001,20.3316171169281
13,0.03716223803348839,100,2199,67,0.67,7,93,-435.7700000000004,0.001,21.750882148742676
14,0.024261312051676212,100,2304,67,0.67,4,96,-458.6600000000003,0.001,22.96531891822815
15,0.02370314068335574,100,2756,59,0.59,4,96,-581.4500000000003,0.001,24.268317937850952
16,0.03339125643484295,100,2245,67,0.67,4,96,-443.4900000000002,0.001,25.4874849319458
17,0.0370856127794832,100,3300,41,0.41,9,91,-747.5100000000002,0.001,26.942318201065063
18,0.02480378668406047,100,2403,63,0.63,3,97,-487.35999999999996,0.001,28.162271976470947
19,0.022971599153243004,100,2128,67,0.67,10,90,-414.8700000000003,0.001,29.335453033447266
20,0.024940553897176868,100,2126,72,0.72,7,93,-402.87000000000035,0.001,30.482670068740845
21,0.02207102960033808,100,2169,65,0.65,5,95,-435.1800000000004,0.001,31.660411834716797
22,0.02930935171665624,100,2670,54,0.54,10,90,-572.9200000000004,0.001,32.93022584915161
23,0.024987916552927345,100,2363,61,0.61,5,95,-479.86000000000024,0.001,34.13919425010681
24,0.02173158766236156,100,2010,71,0.71,9,91,-374.4900000000001,0.001,35.35423421859741
25,0.01601786777144298,100,1628,78,0.78,4,96,-267.93,0.001,36.47748303413391
26,0.018740696022869086,100,1922,71,0.71,9,91,-362.5700000000001,0.001,37.576517820358276
27,0.024445359730525525,100,2263,62,0.62,6,94,-457.1800000000001,0.001,38.76580882072449
28,0.01642250781544135,100,1852,75,0.75,6,94,-315.9200000000001,0.001,40.061991930007935
29,0.011798930689838016,100,1771,74,0.74,8,92,-310.57000000000005,0.001,41.63135004043579
30,0.015845592700643465,100,1625,76,0.76,10,90,-272.41000000000014,0.001,44.291271924972534
31,0.012995041567482985,100,1783,81,0.81,8,92,-287.59999999999997,0.001,45.9137499332428
32,0.007955124088839511,100,1268,89,0.89,3,97,-150.95000000000007,0.001,47.08573603630066
33,0.01079344183575813,100,1635,79,0.79,4,96,-268.85,0.001,48.354085206985474
34,0.009541333237866639,100,1421,86,0.86,7,93,-195.89000000000013,0.001,49.44880199432373
35,0.004403885542051285,100,921,96,0.96,5,95,-47.889999999999965,0.001,50.51662492752075
36,0.019300772353817594,100,2005,68,0.68,10,90,-379.09000000000015,0.001,51.92157316207886
37,0.023296384839341044,100,2061,69,0.69,6,94,-400.24000000000024,0.001,53.18654108047485
38,0.007424557537742658,100,1053,90,0.9,5,95,-102.46000000000006,0.001,54.19173192977905
39,0.030823409667646046,100,2745,50,0.5,3,97,-599.8199999999999,0.001,55.65883493423462
40,0.030931364896241577,100,2779,54,0.54,5,95,-601.8500000000004,0.001,57.13180112838745
41,0.009543153347913176,100,1211,85,0.85,3,97,-158.70999999999987,0.001,58.19504904747009
42,0.0012800105083135805,100,635,100,1.0,5,95,30.92000000000002,0.001,59.19909882545471
