epoch,loss,steps,win,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.009608086198568344,37,0,0.0,4,33,-8.2,0.001,54.52739
1,0.05521143972873688,11,1,0.0,6,5,-0.6600000000000001,0.001,68.255929
2,0.04826566204428673,10,1,0.0,4,6,-0.8300000000000001,0.001,82.607152
3,0.010530661791563034,35,0,0.0,5,30,-8.120000000000001,0.001,133.338398
4,0.08624501526355743,15,1,0.0,7,8,-1.4500000000000002,0.001,152.59432
5,0.01586153171956539,35,0,0.0,6,29,-8.120000000000001,0.001,196.961413
6,0.15180161595344543,24,1,0.0,7,17,-3.7,0.001,227.451501
7,0.12438656389713287,16,1,0.0,3,13,-2.54,0.001,247.840361
8,0.13428381085395813,17,1,0.75,5,12,-2.37,0.001,269.605212
9,0.14550577104091644,26,1,0.75,7,19,-3.99,0.001,303.312098
10,0.27440160512924194,7,1,0.75,3,4,-0.29000000000000004,0.001,312.361109
11,0.26320621371269226,1,1,0.875,2,0,1.0,0.001,313.639986
12,0.022872906178236008,34,0,0.75,4,30,-8.08,0.001,356.655144
13,0.17100049555301666,25,1,0.875,4,21,-4.37,0.001,388.688756
14,0.06178836524486542,33,0,0.75,5,28,-8.04,0.001,430.933444
15,0.26867520809173584,26,1,0.75,5,21,-4.62,0.001,463.984448
16,0.5081118941307068,2,1,0.75,3,0,0.96,0.001,466.566445
17,0.6824009418487549,2,1,0.75,3,0,0.96,0.001,469.172104
18,0.8420246243476868,1,1,0.75,2,0,1.0,0.001,470.469008
19,0.026398014277219772,34,0,0.625,5,29,-8.08,0.001,514.817646
20,0.03232743963599205,36,0,0.625,5,31,-8.16,0.001,561.596123
21,0.173015758395195,3,1,0.625,4,0,0.92,0.001,565.559066
22,0.029169877991080284,36,0,0.625,3,33,-8.16,0.001,614.622516
23,0.06665990501642227,37,0,0.5,2,35,-8.2,0.001,666.551148
24,0.12117202579975128,35,0,0.375,3,32,-8.120000000000001,0.001,713.921566
25,0.4476698040962219,1,1,0.375,2,0,1.0,0.001,715.774304
26,0.0705464631319046,36,0,0.25,6,30,-8.16,0.001,765.625096
27,0.10136155784130096,34,0,0.25,3,31,-8.08,0.001,808.011969
28,0.26973116397857666,24,1,0.375,4,20,-4.12,0.001,838.50696
29,0.08297475427389145,35,0,0.25,6,29,-8.120000000000001,0.001,882.086101
30,0.14400771260261536,36,0,0.25,3,33,-8.16,0.001,927.99513
31,0.1332160383462906,35,0,0.25,7,28,-8.120000000000001,0.001,971.920824
32,0.4573749601840973,1,1,0.375,2,0,1.0,0.001,973.128113
33,0.7679842710494995,1,1,0.375,2,0,1.0,0.001,974.365789
34,0.05982678011059761,36,0,0.375,7,29,-8.16,0.001,1019.724455
35,0.2342921793460846,1,1,0.5,2,0,1.0,0.001,1021.037732
36,0.06686418503522873,35,0,0.375,6,29,-8.120000000000001,0.001,1065.496652
37,0.22017453610897064,29,1,0.5,6,23,-4.95,0.001,1101.061879
38,0.4123274087905884,5,1,0.625,6,0,0.84,0.001,1107.660089
39,0.1370018720626831,11,1,0.75,5,6,-0.8700000000000001,0.001,1121.775417
40,0.1278901845216751,25,1,0.75,6,19,-3.95,0.001,1155.696864
41,0.05239110440015793,36,0,0.625,7,29,-8.16,0.001,1201.231786
42,0.16889716684818268,14,1,0.75,3,11,-2.04,0.001,1219.340519
43,0.19410847127437592,29,1,0.75,5,24,-5.37,0.001,1257.621831
44,0.3687823414802551,3,1,0.875,4,0,0.92,0.001,1261.714367
45,0.5011174082756042,2,1,0.875,3,0,0.96,0.001,1264.175615
46,0.10665003210306168,24,1,0.875,5,19,-4.12,0.001,1294.452382
47,0.041807807981967926,34,0,0.75,3,31,-8.08,0.001,1338.573001
48,0.195163294672966,25,1,0.75,5,20,-4.37,0.001,1371.165039
49,0.1520305871963501,14,1,0.875,5,9,-1.62,0.001,1388.53462
50,0.26110944151878357,3,1,0.875,4,0,0.92,0.001,1392.294729
51,0.04554097726941109,33,0,0.75,4,29,-8.04,0.001,1434.9696
52,0.15065203607082367,12,1,0.75,4,8,-1.33,0.001,1450.799877
53,0.1736227124929428,29,1,0.75,5,24,-5.37,0.001,1487.607806
54,0.32922089099884033,2,1,0.75,3,0,0.96,0.001,1490.092125
55,0.04940216988325119,33,0,0.75,4,29,-8.04,0.001,1532.433128
56,0.19589081406593323,7,1,0.75,6,1,0.33999999999999997,0.001,1541.59779
57,0.28937703371047974,3,1,0.75,4,0,0.92,0.001,1545.560325
58,0.03966131433844566,36,0,0.625,7,29,-8.16,0.001,1591.660023
59,0.14220783114433289,1,1,0.75,2,0,1.0,0.001,1592.97437
60,0.12433509528636932,23,1,0.75,4,19,-3.87,0.001,1622.465172
61,0.24134618043899536,1,1,0.75,2,0,1.0,0.001,1623.767402
62,0.34709370136260986,3,1,0.75,4,0,0.92,0.001,1627.766934
63,0.4194580316543579,2,1,0.875,3,0,0.96,0.001,1630.36455
64,0.23520801961421967,4,1,0.875,5,0,0.88,0.001,1635.629089
65,0.01619868166744709,33,0,0.75,5,28,-8.04,0.001,1678.260532
66,0.07943392544984818,4,1,0.875,5,0,0.88,0.001,1683.34495
67,0.14142705500125885,2,1,0.875,3,0,0.96,0.001,1685.823348
68,0.042538899928331375,10,1,0.875,5,5,-0.6200000000000001,0.001,1698.226756
69,0.0825352668762207,34,1,0.875,5,29,-6.62,0.001,1742.687724
70,0.11573941260576248,32,1,0.875,5,27,-5.91,0.001,1789.191331
71,0.21593251824378967,4,1,0.875,5,0,0.88,0.001,1794.066149
72,0.1295936554670334,7,1,0.875,6,1,0.33999999999999997,0.001,1802.806424
73,0.0344117172062397,31,1,1.0,3,28,-5.66,0.001,1841.516821
